Uniprot_arabadopsis	Uniprot_cerevisiae	AlphaFold_arabadopsis	AlphaFold_cerevisiae	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q8VXU9	Q03920	AF-Q8VXU9-F1-model_v3	AF-Q03920-F1-model_v3	NA	NA	0.00e+00	465.26	5.762E-19	762	gold
Q8VXY7	P31381	AF-Q8VXY7-F1-model_v3	AF-P31381-F1-model_v3	NA	NA	3.02e-11	933.65	1.318E-16	965	gold
Q8VY08	Q08282	AF-Q8VY08-F1-model_v3	AF-Q08282-F1-model_v3	NA	NA	4.44e-16	707.15	9.514E-24	987	gold
Q8VY17	P35177	AF-Q8VY17-F1-model_v3	AF-P35177-F1-model_v3	NA	NA	1.80e-01	611.67	7.938E-08	360	gold
Q8VY53	P53961	AF-Q8VY53-F1-model_v3	AF-P53961-F1-model_v3	NA	NA	1.01e-08	394.08	1.257E-07	375	gold
Q8VY61	P51998	AF-Q8VY61-F1-model_v3	AF-P51998-F1-model_v3	NA	NA	2.38e-11	564.09	4.144E-16	649	gold
Q8VYB1	P38633	AF-Q8VYB1-F1-model_v3	AF-P38633-F1-model_v3	NA	NA	9.49e-06	264.42	2.954E-05	284	gold
Q8VYE2	Q02776	AF-Q8VYE2-F1-model_v3	AF-Q02776-F1-model_v3	NA	NA	8.77e-08	742.16	3.347E-24	994	gold
Q8VYE5	P22146	AF-Q8VYE5-F1-model_v3	AF-P22146-F1-model_v3	NA	NA	3.97e-05	521.11	NA	NA	silver
Q8VYI4	P13663	AF-Q8VYI4-F1-model_v3	AF-P13663-F1-model_v3	NA	NA	0.00e+00	652.82	6.842E-26	1048	gold
Q8VYK1	P50113	AF-Q8VYK1-F1-model_v3	AF-P50113-F1-model_v3	NA	NA	6.12e-14	441.38	1.069E-12	539	gold
Q8VYQ0	Q12245	AF-Q8VYQ0-F1-model_v3	AF-Q12245-F1-model_v3	NA	NA	4.78e-08	201.15	4.794E-06	271	gold
Q8VZ50	P53141	AF-Q8VZ50-F1-model_v3	AF-P53141-F1-model_v3	NA	NA	2.37e-12	330.37	2.599E-10	468	gold
Q8VZ55	P53921	AF-Q8VZ55-F1-model_v3	AF-P53921-F1-model_v3	NA	NA	6.95e-05	195.77	6.627E-05	216	gold
Q8VZ75	Q07648	AF-Q8VZ75-F1-model_v3	AF-Q07648-F1-model_v3	NA	NA	0.00e+00	422.78	2.773E-20	783	gold
Q8VZC9	P47142	AF-Q8VZC9-F1-model_v3	AF-P47142-F1-model_v3	NA	NA	0.00e+00	445.90	5.103E-16	687	gold
Q8VZK2	P47089	AF-Q8VZK2-F1-model_v3	AF-P47089-F1-model_v3	NA	NA	2.52e-08	339.45	3.499E-13	537	gold
Q8VZL6	P53201	AF-Q8VZL6-F1-model_v3	AF-P53201-F1-model_v3	NA	NA	2.33e-06	614.04	1.836E-16	710	gold
Q8W234	Q07684	AF-Q8W234-F1-model_v3	AF-Q07684-F1-model_v3	NA	NA	8.12e-04	682.28	3.842E-17	732	gold
Q8W489	P14736	AF-Q8W489-F1-model_v3	AF-P14736-F1-model_v3	NA	NA	5.51e-08	1120.13	3.990E-29	1257	gold
Q8W498	P40069	AF-Q8W498-F1-model_v3	AF-P40069-F1-model_v3	NA	NA	0.00e+00	2479.69	3.451E-37	2560	gold
Q8W4D7	Q04080	AF-Q8W4D7-F1-model_v3	AF-Q04080-F1-model_v3	NA	NA	6.88e-15	903.31	6.862E-24	1039	gold
Q93VP3	P23301	AF-Q93VP3-F1-model_v3	AF-P23301-F1-model_v3	NA	NA	0.00e+00	436.90	NA	NA	silver
Q93VV0	Q12006	AF-Q93VV0-F1-model_v3	AF-Q12006-F1-model_v3	NA	NA	7.77e-16	563.21	1.918E-13	651	gold
Q93VV9	P42949	AF-Q93VV9-F1-model_v3	AF-P42949-F1-model_v3	NA	NA	3.58e-06	223.09	3.128E-04	214	gold
Q93W87	Q12368	AF-Q93W87-F1-model_v3	AF-Q12368-F1-model_v3	NA	NA	4.12e-04	253.72	8.587E-05	203	gold
Q93WB8	P38813	AF-Q93WB8-F1-model_v3	AF-P38813-F1-model_v3	NA	NA	2.24e-04	377.15	9.274E-08	334	gold
Q93XX5	P38849	AF-Q93XX5-F1-model_v3	AF-P38849-F1-model_v3	NA	NA	6.89e-04	400.30	NA	NA	silver
Q93Y22	P43621	AF-Q93Y22-F1-model_v3	AF-P43621-F1-model_v3	NA	NA	1.89e-15	1012.16	4.521E-42	1832	gold
Q93Y25	P25555	AF-Q93Y25-F1-model_v3	AF-P25555-F1-model_v3	NA	NA	2.85e-05	757.49	NA	NA	silver
Q93YU5	P32855	AF-Q93YU5-F1-model_v3	AF-P32855-F1-model_v3	NA	NA	4.54e-09	1617.46	2.688E-20	1291	gold
Q93Z51	P53184	AF-Q93Z51-F1-model_v3	AF-P53184-F1-model_v3	NA	NA	5.26e-12	348.92	4.943E-12	517	gold
Q93Z55	P53200	AF-Q93Z55-F1-model_v3	AF-P53200-F1-model_v3	NA	NA	1.34e-10	459.24	9.218E-19	761	gold
Q93ZH7	Q12098	AF-Q93ZH7-F1-model_v3	AF-Q12098-F1-model_v3	NA	NA	8.25e-02	580.73	NA	NA	silver
Q93ZL5	P42944	AF-Q93ZL5-F1-model_v3	AF-P42944-F1-model_v3	NA	NA	3.39e-01	324.46	9.020E-04	176	gold
Q93ZN2	P42884	AF-Q93ZN2-F1-model_v3	AF-P42884-F1-model_v3	NA	NA	0.00e+00	722.08	NA	NA	silver
Q940G3	P19956	AF-Q940G3-F1-model_v3	AF-P19956-F1-model_v3	NA	NA	8.63e-10	227.84	3.149E-07	294	gold
Q940V5	P38172	AF-Q940V5-F1-model_v3	AF-P38172-F1-model_v3	NA	NA	9.27e-07	305.41	NA	NA	silver
Q941B1	Q06668	AF-Q941B1-F1-model_v3	AF-Q06668-F1-model_v3	NA	NA	4.15e-04	452.67	NA	NA	silver
Q941B6	P14682	AF-Q941B6-F1-model_v3	AF-P14682-F1-model_v3	NA	NA	2.12e-04	537.43	NA	NA	silver
Q941R4	P40107	AF-Q941R4-F1-model_v3	AF-P40107-F1-model_v3	NA	NA	0.00e+00	755.80	1.892E-17	982	gold
Q943Z6	P29478	AF-Q943Z6-F1-model_v3	AF-P29478-F1-model_v3	NA	NA	5.81e-06	273.40	2.780E-09	387	gold
Q944B6	P20049	AF-Q944B6-F1-model_v3	AF-P20049-F1-model_v3	NA	NA	5.95e-07	765.74	5.236E-15	715	gold
Q944I4	P42938	AF-Q944I4-F1-model_v3	AF-P42938-F1-model_v3	NA	NA	0.00e+00	630.69	1.105E-21	942	gold
Q944K2	P33767	AF-Q944K2-F1-model_v3	AF-P33767-F1-model_v3	NA	NA	1.11e-16	849.54	4.006E-34	1366	gold
Q944R2	P40471	AF-Q944R2-F1-model_v3	AF-P40471-F1-model_v3	NA	NA	0.00e+00	650.15	7.991E-24	958	gold
Q945N1	Q08979	AF-Q945N1-F1-model_v3	AF-Q08979-F1-model_v3	NA	NA	5.91e-11	1187.37	6.039E-43	1967	gold
Q949M4	P38041	AF-Q949M4-F1-model_v3	AF-P38041-F1-model_v3	NA	NA	2.57e-01	705.66	NA	NA	silver
Q949Z8	Q12016	AF-Q949Z8-F1-model_v3	AF-Q12016-F1-model_v3	NA	NA	3.55e-12	305.33	5.419E-06	327	gold
Q94AH6	Q12018	AF-Q94AH6-F1-model_v3	AF-Q12018-F1-model_v3	NA	NA	0.00e+00	1744.04	1.153E-35	2107	gold
Q94AI6	P32844	AF-Q94AI6-F1-model_v3	AF-P32844-F1-model_v3	NA	NA	0.00e+00	1695.33	8.157E-25	1455	gold
Q94AK8	P33201	AF-Q94AK8-F1-model_v3	AF-P33201-F1-model_v3	NA	NA	0.00e+00	565.47	5.818E-22	870	gold
Q94AU2	P22214	AF-Q94AU2-F1-model_v3	AF-P22214-F1-model_v3	NA	NA	0.00e+00	552.67	7.869E-18	756	gold
Q94BY8	P22135	AF-Q94BY8-F1-model_v3	AF-P22135-F1-model_v3	NA	NA	2.27e-12	604.12	4.386E-14	706	gold
Q94C15	P47123	AF-Q94C15-F1-model_v3	AF-P47123-F1-model_v3	NA	NA	5.60e-11	334.14	5.689E-13	588	gold
Q94C27	P34226	AF-Q94C27-F1-model_v3	AF-P34226-F1-model_v3	NA	NA	1.33e-06	687.25	NA	NA	silver
Q94C32	Q12432	AF-Q94C32-F1-model_v3	AF-Q12432-F1-model_v3	NA	NA	2.15e-10	631.59	2.143E-20	873	gold
Q94C49	Q03289	AF-Q94C49-F1-model_v3	AF-Q03289-F1-model_v3	NA	NA	3.41e-11	548.91	NA	NA	silver
Q94C74	P37292	AF-Q94C74-F1-model_v3	AF-P37292-F1-model_v3	NA	NA	0.00e+00	1347.39	NA	NA	silver
Q94C90	P36052	AF-Q94C90-F1-model_v3	AF-P36052-F1-model_v3	NA	NA	8.69e-08	521.90	7.364E-19	801	gold
Q94CK1	P53072	AF-Q94CK1-F1-model_v3	AF-P53072-F1-model_v3	NA	NA	7.76e-08	454.40	6.194E-19	763	gold
Q94CK3	P40515	AF-Q94CK3-F1-model_v3	AF-P40515-F1-model_v3	NA	NA	1.45e-11	314.99	1.243E-05	318	gold
Q94EI3	Q07418	AF-Q94EI3-F1-model_v3	AF-Q07418-F1-model_v3	NA	NA	1.91e-03	406.43	5.643E-07	344	gold
Q94FY7	Q05948	AF-Q94FY7-F1-model_v3	AF-Q05948-F1-model_v3	NA	NA	1.15e-05	349.10	4.571E-07	375	gold
Q94JQ7	P36517	AF-Q94JQ7-F1-model_v3	AF-P36517-F1-model_v3	NA	NA	7.05e-04	234.86	1.295E-04	252	gold
Q94JZ8	Q06682	AF-Q94JZ8-F1-model_v3	AF-Q06682-F1-model_v3	NA	NA	4.79e-07	691.06	1.097E-24	1006	gold
Q94K80	P25567	AF-Q94K80-F1-model_v3	AF-P25567-F1-model_v3	NA	NA	5.49e-02	586.55	4.808E-09	366	gold
Q96251	P09457	AF-Q96251-F1-model_v3	AF-P09457-F1-model_v3	NA	NA	0.00e+00	548.12	3.215E-16	747	gold
Q96252	Q12165	AF-Q96252-F1-model_v3	AF-Q12165-F1-model_v3	NA	NA	8.73e-14	398.80	7.267E-19	765	gold
Q96266	P23202	AF-Q96266-F1-model_v3	AF-P23202-F1-model_v3	NA	NA	2.64e-11	523.39	1.711E-12	643	gold
Q9AST6	P47111	AF-Q9AST6-F1-model_v3	AF-P47111-F1-model_v3	NA	NA	5.62e-13	326.34	8.219E-06	293	gold
Q9ASU1	Q08650	AF-Q9ASU1-F1-model_v3	AF-Q08650-F1-model_v3	NA	NA	8.62e-13	626.86	6.354E-21	888	gold
Q9ASV5	P36112	AF-Q9ASV5-F1-model_v3	AF-P36112-F1-model_v3	NA	NA	2.81e-06	937.13	7.332E-09	436	gold
Q9ASY9	P25362	AF-Q9ASY9-F1-model_v3	AF-P25362-F1-model_v3	NA	NA	0.00e+00	495.75	NA	NA	silver
Q9C550	Q12166	AF-Q9C550-F1-model_v3	AF-Q12166-F1-model_v3	NA	NA	0.00e+00	1275.79	1.438E-41	1818	gold
Q9C552	P47077	AF-Q9C552-F1-model_v3	AF-P47077-F1-model_v3	NA	NA	1.67e-11	1193.89	8.098E-14	950	gold
Q9C553	P06105	AF-Q9C553-F1-model_v3	AF-P06105-F1-model_v3	NA	NA	2.72e-04	761.85	NA	NA	silver
Q9C5C4	P43616	AF-Q9C5C4-F1-model_v3	AF-P43616-F1-model_v3	NA	NA	7.37e-10	730.84	1.034E-27	1121	gold
Q9C5D0	P53172	AF-Q9C5D0-F1-model_v3	AF-P53172-F1-model_v3	NA	NA	1.96e-03	349.66	NA	NA	silver
Q9C5H9	P38863	AF-Q9C5H9-F1-model_v3	AF-P38863-F1-model_v3	NA	NA	0.00e+00	1346.68	4.061E-26	1478	gold
Q9C671	P42951	AF-Q9C671-F1-model_v3	AF-P42951-F1-model_v3	NA	NA	7.85e-04	553.27	7.099E-10	503	gold
Q9C689	P43124	AF-Q9C689-F1-model_v3	AF-P43124-F1-model_v3	NA	NA	4.11e-04	527.45	3.873E-12	540	gold
Q9C6L9	Q12412	AF-Q9C6L9-F1-model_v3	AF-Q12412-F1-model_v3	NA	NA	0.00e+00	1103.71	9.239E-18	979	gold
Q9C711	P32357	AF-Q9C711-F1-model_v3	AF-P32357-F1-model_v3	NA	NA	1.96e-07	517.83	3.592E-13	655	gold
Q9C712	P32785	AF-Q9C712-F1-model_v3	AF-P32785-F1-model_v3	NA	NA	2.29e-09	590.87	2.401E-23	963	gold
Q9C776	P16639	AF-Q9C776-F1-model_v3	AF-P16639-F1-model_v3	NA	NA	6.08e-07	636.07	1.179E-19	871	gold
Q9C778	Q02884	AF-Q9C778-F1-model_v3	AF-Q02884-F1-model_v3	NA	NA	2.01e-06	526.48	1.602E-19	789	gold
Q9C7A8	P40359	AF-Q9C7A8-F1-model_v3	AF-P40359-F1-model_v3	NA	NA	2.66e-15	464.54	3.069E-16	679	gold
Q9C7E7	Q03338	AF-Q9C7E7-F1-model_v3	AF-Q03338-F1-model_v3	NA	NA	3.91e-05	675.21	2.029E-18	743	gold
Q9C8I1	Q03768	AF-Q9C8I1-F1-model_v3	AF-Q03768-F1-model_v3	NA	NA	6.48e-07	401.18	1.447E-10	430	gold
Q9C8L2	P38884	AF-Q9C8L2-F1-model_v3	AF-P38884-F1-model_v3	NA	NA	2.81e-07	504.54	1.977E-13	583	gold
Q9C8N0	P48569	AF-Q9C8N0-F1-model_v3	AF-P48569-F1-model_v3	NA	NA	3.41e-14	486.45	3.624E-11	513	gold
Q9C8Z4	P42945	AF-Q9C8Z4-F1-model_v3	AF-P42945-F1-model_v3	NA	NA	1.45e-10	3022.50	2.961E-25	1646	gold
Q9C933	Q08743	AF-Q9C933-F1-model_v3	AF-Q08743-F1-model_v3	NA	NA	4.99e-08	584.55	NA	NA	silver
Q9C950	P53064	AF-Q9C950-F1-model_v3	AF-P53064-F1-model_v3	NA	NA	9.80e-06	879.55	1.786E-23	963	gold
Q9C9E6	P38745	AF-Q9C9E6-F1-model_v3	AF-P38745-F1-model_v3	NA	NA	3.77e-15	1003.59	NA	NA	silver
Q9C9H8	P53009	AF-Q9C9H8-F1-model_v3	AF-P53009-F1-model_v3	NA	NA	1.29e-10	1510.09	2.774E-33	1820	gold
Q9C9M1	P40516	AF-Q9C9M1-F1-model_v3	AF-P40516-F1-model_v3	NA	NA	3.93e-13	505.14	8.049E-20	816	gold
Q9CAF4	P20676	AF-Q9CAF4-F1-model_v3	AF-P20676-F1-model_v3	NA	NA	1.77e-01	844.06	NA	NA	silver
Q9CAH5	P40526	AF-Q9CAH5-F1-model_v3	AF-P40526-F1-model_v3	NA	NA	0.00e+00	521.65	1.511E-09	561	gold
Q9CAL8	P32944	AF-Q9CAL8-F1-model_v3	AF-P32944-F1-model_v3	NA	NA	3.40e-03	890.04	NA	NA	silver
Q9CAN8	Q08548	AF-Q9CAN8-F1-model_v3	AF-Q08548-F1-model_v3	NA	NA	0.00e+00	1137.38	2.431E-23	1419	gold
Q9CAT3	P53235	AF-Q9CAT3-F1-model_v3	AF-P53235-F1-model_v3	NA	NA	1.11e-16	1047.99	7.463E-39	1777	gold
Q9FF81	Q06696	AF-Q9FF81-F1-model_v3	AF-Q06696-F1-model_v3	NA	NA	2.28e-08	619.54	4.239E-16	728	gold
Q9FFB3	P36095	AF-Q9FFB3-F1-model_v3	AF-P36095-F1-model_v3	NA	NA	8.25e-10	473.19	6.267E-10	469	gold
Q9FFC0	P02294	AF-Q9FFC0-F1-model_v3	AF-P02294-F1-model_v3	NA	NA	0.00e+00	354.19	NA	NA	silver
Q9FFD9	Q06058	AF-Q9FFD9-F1-model_v3	AF-Q06058-F1-model_v3	NA	NA	1.18e-04	385.55	4.063E-09	399	gold
Q9FFF8	Q12038	AF-Q9FFF8-F1-model_v3	AF-Q12038-F1-model_v3	NA	NA	1.01e-10	1327.99	4.880E-38	1761	gold
Q9FFG3	P53969	AF-Q9FFG3-F1-model_v3	AF-P53969-F1-model_v3	NA	NA	4.44e-16	914.53	4.347E-27	1268	gold
Q9FFI2	Q12380	AF-Q9FFI2-F1-model_v3	AF-Q12380-F1-model_v3	NA	NA	2.22e-16	512.64	1.208E-18	757	gold
Q9FFK6	P40368	AF-Q9FFK6-F1-model_v3	AF-P40368-F1-model_v3	NA	NA	4.14e-07	1060.20	1.362E-23	1057	gold
Q9FFT4	P26263	AF-Q9FFT4-F1-model_v3	AF-P26263-F1-model_v3	NA	NA	0.00e+00	1397.03	NA	NA	silver
Q9FG22	Q12408	AF-Q9FG22-F1-model_v3	AF-Q12408-F1-model_v3	NA	NA	1.04e-08	293.93	5.183E-11	533	gold
Q9FG37	P53540	AF-Q9FG37-F1-model_v3	AF-P53540-F1-model_v3	NA	NA	4.44e-16	1564.08	2.021E-27	1505	gold
Q9FG67	Q12122	AF-Q9FG67-F1-model_v3	AF-Q12122-F1-model_v3	NA	NA	1.67e-15	1008.55	NA	NA	silver
Q9FGI1	Q04781	AF-Q9FGI1-F1-model_v3	AF-Q04781-F1-model_v3	NA	NA	3.50e-10	2317.65	6.341E-23	1614	gold
Q9FGK9	P48415	AF-Q9FGK9-F1-model_v3	AF-P48415-F1-model_v3	NA	NA	7.88e-02	1339.28	6.580E-11	653	gold
Q9FGM2	P46997	AF-Q9FGM2-F1-model_v3	AF-P46997-F1-model_v3	NA	NA	1.52e-02	518.09	NA	NA	silver
Q9FGR0	Q06632	AF-Q9FGR0-F1-model_v3	AF-Q06632-F1-model_v3	NA	NA	0.00e+00	2542.41	3.323E-83	4073	gold
Q9FGS8	P38717	AF-Q9FGS8-F1-model_v3	AF-P38717-F1-model_v3	NA	NA	1.31e-02	836.46	NA	NA	silver
Q9FGU1	Q03337	AF-Q9FGU1-F1-model_v3	AF-Q03337-F1-model_v3	NA	NA	1.36e-13	411.54	3.175E-15	637	gold
Q9FGV5	P43602	AF-Q9FGV5-F1-model_v3	AF-P43602-F1-model_v3	NA	NA	5.51e-01	385.01	9.508E-05	234	gold
Q9FGW9	P53935	AF-Q9FGW9-F1-model_v3	AF-P53935-F1-model_v3	NA	NA	4.32e-02	915.82	NA	NA	silver
Q9FGZ3	P36121	AF-Q9FGZ3-F1-model_v3	AF-P36121-F1-model_v3	NA	NA	2.44e-03	422.58	6.699E-11	521	gold
Q9FH46	P38687	AF-Q9FH46-F1-model_v3	AF-P38687-F1-model_v3	NA	NA	5.32e-09	955.59	9.875E-10	610	gold
Q9FH57	P18494	AF-Q9FH57-F1-model_v3	AF-P18494-F1-model_v3	NA	NA	1.54e-01	335.57	NA	NA	silver
Q9FHR8	Q08558	AF-Q9FHR8-F1-model_v3	AF-Q08558-F1-model_v3	NA	NA	0.00e+00	614.26	6.760E-16	678	gold
Q9FI43	D6W196	AF-Q9FI43-F1-model_v3	AF-D6W196-F1-model_v3	NA	NA	2.62e-11	860.91	NA	NA	silver
Q9FI44	Q08230	AF-Q9FI44-F1-model_v3	AF-Q08230-F1-model_v3	NA	NA	4.45e-07	289.74	5.887E-04	228	gold
Q9FI55	Q3E835	AF-Q9FI55-F1-model_v3	AF-Q3E835-F1-model_v3	NA	NA	8.78e-10	239.44	2.290E-04	197	gold
Q9FIC3	P53082	AF-Q9FIC3-F1-model_v3	AF-P53082-F1-model_v3	NA	NA	8.39e-12	217.65	6.471E-09	345	gold
Q9FIJ4	P32787	AF-Q9FIJ4-F1-model_v3	AF-P32787-F1-model_v3	NA	NA	1.85e-04	283.75	1.670E-07	325	gold
Q9FIT8	P38851	AF-Q9FIT8-F1-model_v3	AF-P38851-F1-model_v3	NA	NA	1.46e-03	836.44	NA	NA	silver
Q9FJB4	P48236	AF-Q9FJB4-F1-model_v3	AF-P48236-F1-model_v3	NA	NA	8.36e-14	865.22	6.145E-13	736	gold
Q9FJL4	P38165	AF-Q9FJL4-F1-model_v3	AF-P38165-F1-model_v3	NA	NA	6.13e-03	519.69	5.511E-07	275	gold
Q9FJT8	Q12341	AF-Q9FJT8-F1-model_v3	AF-Q12341-F1-model_v3	NA	NA	0.00e+00	718.18	3.420E-22	970	gold
Q9FK51	P08431	AF-Q9FK51-F1-model_v3	AF-P08431-F1-model_v3	NA	NA	0.00e+00	721.58	1.503E-26	1105	gold
Q9FKK6	P38289	AF-Q9FKK6-F1-model_v3	AF-P38289-F1-model_v3	NA	NA	1.01e-06	562.78	5.814E-13	574	gold
Q9FKK7	P22936	AF-Q9FKK7-F1-model_v3	AF-P22936-F1-model_v3	NA	NA	3.14e-06	477.49	NA	NA	silver
Q9FL98	Q04806	AF-Q9FL98-F1-model_v3	AF-Q04806-F1-model_v3	NA	NA	0.00e+00	750.73	NA	NA	silver
Q9FLD3	P36080	AF-Q9FLD3-F1-model_v3	AF-P36080-F1-model_v3	NA	NA	4.81e-04	495.06	1.862E-05	254	gold
Q9FLE8	Q12498	AF-Q9FLE8-F1-model_v3	AF-Q12498-F1-model_v3	NA	NA	7.14e-03	312.77	NA	NA	silver
Q9FLF0	O13516	AF-Q9FLF0-F1-model_v3	AF-O13516-F1-model_v3	NA	NA	0.00e+00	548.19	NA	NA	silver
Q9FLF3	P36520	AF-Q9FLF3-F1-model_v3	AF-P36520-F1-model_v3	NA	NA	3.60e-11	590.06	7.909E-20	740	gold
Q9FLM8	P40422	AF-Q9FLM8-F1-model_v3	AF-P40422-F1-model_v3	NA	NA	8.09e-07	133.82	4.787E-05	220	gold
Q9FLP9	P16550	AF-Q9FLP9-F1-model_v3	AF-P16550-F1-model_v3	NA	NA	6.04e-12	454.57	2.509E-11	518	gold
Q9FLY0	P53110	AF-Q9FLY0-F1-model_v3	AF-P53110-F1-model_v3	NA	NA	0.00e+00	561.12	1.603E-15	665	gold
Q9FMI5	P53944	AF-Q9FMI5-F1-model_v3	AF-P53944-F1-model_v3	NA	NA	9.08e-13	581.00	1.592E-14	622	gold
Q9FMT4	P53628	AF-Q9FMT4-F1-model_v3	AF-P53628-F1-model_v3	NA	NA	8.52e-06	741.73	1.326E-23	990	gold
Q9FN19	P38262	AF-Q9FN19-F1-model_v3	AF-P38262-F1-model_v3	NA	NA	2.47e-11	977.50	3.097E-34	1518	gold
Q9FNF6	P18962	AF-Q9FNF6-F1-model_v3	AF-P18962-F1-model_v3	NA	NA	0.00e+00	1462.36	1.649E-45	2150	gold
Q9FNM7	P15424	AF-Q9FNM7-F1-model_v3	AF-P15424-F1-model_v3	NA	NA	6.21e-11	1154.38	NA	NA	silver
Q9FNY4	P25615	AF-Q9FNY4-F1-model_v3	AF-P25615-F1-model_v3	NA	NA	2.36e-09	878.10	1.850E-26	1145	gold
Q9FPS0	Q02863	AF-Q9FPS0-F1-model_v3	AF-Q02863-F1-model_v3	NA	NA	9.54e-14	761.99	1.778E-25	1099	gold
Q9FQ08	P32807	AF-Q9FQ08-F1-model_v3	AF-P32807-F1-model_v3	NA	NA	8.10e-15	931.17	1.110E-29	1282	gold
Q9FQ09	Q04437	AF-Q9FQ09-F1-model_v3	AF-Q04437-F1-model_v3	NA	NA	1.04e-10	951.81	7.743E-30	1318	gold
Q9FQ19	Q12158	AF-Q9FQ19-F1-model_v3	AF-Q12158-F1-model_v3	NA	NA	2.47e-02	626.00	8.675E-12	522	gold
Q9FT52	P30902	AF-Q9FT52-F1-model_v3	AF-P30902-F1-model_v3	NA	NA	3.24e-10	379.94	4.996E-05	225	gold
Q9FV81	P33893	AF-Q9FV81-F1-model_v3	AF-P33893-F1-model_v3	NA	NA	0.00e+00	1217.97	4.555E-44	1921	gold
Q9FVQ5	Q12252	AF-Q9FVQ5-F1-model_v3	AF-Q12252-F1-model_v3	NA	NA	5.55e-16	1621.57	NA	NA	silver
Q9FX16	Q99303	AF-Q9FX16-F1-model_v3	AF-Q99303-F1-model_v3	NA	NA	2.63e-06	508.61	3.726E-05	300	gold
Q9FX64	P53187	AF-Q9FX64-F1-model_v3	AF-P53187-F1-model_v3	NA	NA	4.38e-11	470.17	7.092E-08	342	gold
Q9FX73	P25625	AF-Q9FX73-F1-model_v3	AF-P25625-F1-model_v3	NA	NA	0.00e+00	744.28	1.557E-15	852	gold
Q9FXI5	P19880	AF-Q9FXI5-F1-model_v3	AF-P19880-F1-model_v3	NA	NA	1.29e-02	674.66	NA	NA	silver
Q9FY50	P36521	AF-Q9FY50-F1-model_v3	AF-P36521-F1-model_v3	NA	NA	1.11e-09	426.86	2.020E-08	373	gold
Q9FY61	Q04183	AF-Q9FY61-F1-model_v3	AF-Q04183-F1-model_v3	NA	NA	3.62e-10	1539.06	4.224E-46	2354	gold
Q9FYA3	P35200	AF-Q9FYA3-F1-model_v3	AF-P35200-F1-model_v3	NA	NA	0.00e+00	464.74	3.056E-18	746	gold
Q9FZ99	Q03466	AF-Q9FZ99-F1-model_v3	AF-Q03466-F1-model_v3	NA	NA	1.58e-05	994.24	1.411E-10	713	gold
Q9FZF1	Q02969	AF-Q9FZF1-F1-model_v3	AF-Q02969-F1-model_v3	NA	NA	1.13e-08	537.63	NA	NA	silver
Q9LD47	P40202	AF-Q9LD47-F1-model_v3	AF-P40202-F1-model_v3	NA	NA	5.77e-12	435.40	2.117E-15	691	gold
Q9LDU6	P25340	AF-Q9LDU6-F1-model_v3	AF-P25340-F1-model_v3	NA	NA	0.00e+00	1028.63	1.705E-22	1226	gold
Q9LER5	Q07951	AF-Q9LER5-F1-model_v3	AF-Q07951-F1-model_v3	NA	NA	2.31e-09	239.27	NA	NA	silver
Q9LEV6	P38892	AF-Q9LEV6-F1-model_v3	AF-P38892-F1-model_v3	NA	NA	1.11e-16	482.38	NA	NA	silver
Q9LF30	P07280	AF-Q9LF30-F1-model_v3	AF-P07280-F1-model_v3	NA	NA	0.00e+00	405.34	1.458E-18	754	gold
Q9LHE5	P23644	AF-Q9LHE5-F1-model_v3	AF-P23644-F1-model_v3	NA	NA	0.00e+00	705.61	3.742E-19	997	gold
Q9LHG8	P25604	AF-Q9LHG8-F1-model_v3	AF-P25604-F1-model_v3	NA	NA	2.07e-13	864.80	2.397E-20	854	gold
Q9LHL7	Q12449	AF-Q9LHL7-F1-model_v3	AF-Q12449-F1-model_v3	NA	NA	1.20e-11	695.41	8.441E-27	1173	gold
Q9LHN1	Q03246	AF-Q9LHN1-F1-model_v3	AF-Q03246-F1-model_v3	NA	NA	4.39e-07	241.61	4.924E-09	425	gold
Q9LIH2	P21825	AF-Q9LIH2-F1-model_v3	AF-P21825-F1-model_v3	NA	NA	7.00e-06	459.46	1.037E-10	461	gold
Q9LIQ4	P41835	AF-Q9LIQ4-F1-model_v3	AF-P41835-F1-model_v3	NA	NA	0.00e+00	620.25	1.012E-15	801	gold
Q9LJ72	P36040	AF-Q9LJ72-F1-model_v3	AF-P36040-F1-model_v3	NA	NA	7.23e-07	378.73	2.291E-12	531	gold
Q9LJQ6	Q03976	AF-Q9LJQ6-F1-model_v3	AF-Q03976-F1-model_v3	NA	NA	9.56e-03	407.90	2.721E-08	362	gold
Q9LK27	Q06488	AF-Q9LK27-F1-model_v3	AF-Q06488-F1-model_v3	NA	NA	1.74e-01	585.96	NA	NA	silver
Q9LK61	Q03201	AF-Q9LK61-F1-model_v3	AF-Q03201-F1-model_v3	NA	NA	2.63e-08	273.95	NA	NA	silver
Q9LK88	Q07923	AF-Q9LK88-F1-model_v3	AF-Q07923-F1-model_v3	NA	NA	4.51e-13	337.28	7.026E-11	466	gold
Q9LL84	Q08387	AF-Q9LL84-F1-model_v3	AF-Q08387-F1-model_v3	NA	NA	1.13e-13	1713.47	5.405E-63	2722	gold
Q9LM77	P38784	AF-Q9LM77-F1-model_v3	AF-P38784-F1-model_v3	NA	NA	6.40e-06	309.04	5.288E-06	289	gold
