Uniprot_arabadopsis	Uniprot_soybean	AlphaFold_arabadopsis	AlphaFold_soybean	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q9SFB3	I1L9R9	AF-Q9SFB3-F1-model_v3	AF-I1L9R9-F1-model_v3	3.0e-170	480.3	0.00e+00	970.12	2.913E-59	2324	platinum
Q9SFB4	K7L325	AF-Q9SFB4-F1-model_v3	AF-K7L325-F1-model_v3	2.8e-39	129.8	NA	NA	5.066E-15	582	gold
Q9SFB5	I1LD24	AF-Q9SFB5-F1-model_v3	AF-I1LD24-F1-model_v3	3.1e-275	753.1	0.00e+00	1334.93	5.889E-84	3454	platinum
Q9SFC3	A0A368UHG0	AF-Q9SFC3-F1-model_v3	AF-A0A368UHG0-F1-model_v3	1.5e-31	105.1	0.00e+00	215.75	8.332E-09	387	platinum
Q9SFF9	C7S8C5	AF-Q9SFF9-F1-model_v3	AF-C7S8C5-F1-model_v3	9.5e-102	295.0	0.00e+00	621.04	9.819E-36	1513	platinum
Q9SFG3	I1NGC1	AF-Q9SFG3-F1-model_v3	AF-I1NGC1-F1-model_v3	5.0e-197	559.3	0.00e+00	1364.21	2.155E-81	3409	platinum
Q9SFH9	P43210	AF-Q9SFH9-F1-model_v3	AF-P43210-F1-model_v3	3.2e-237	653.7	0.00e+00	1124.62	2.152E-70	2959	platinum
Q9SFT7	K7LAS9	AF-Q9SFT7-F1-model_v3	AF-K7LAS9-F1-model_v3	7.6e-186	523.9	NA	NA	5.594E-55	2417	gold
Q9SFT8	I1KZA3	AF-Q9SFT8-F1-model_v3	AF-I1KZA3-F1-model_v3	1.2e-186	526.9	0.00e+00	1030.37	4.334E-38	2067	platinum
Q9SFU0	I1JR26	AF-Q9SFU0-F1-model_v3	AF-I1JR26-F1-model_v3	0.0e+00	1236.5	5.40e-12	2626.48	0.000E+00	6155	platinum
Q9SFU2	K7MSP8	AF-Q9SFU2-F1-model_v3	AF-K7MSP8-F1-model_v3	4.4e-51	174.5	6.80e-04	490.01	NA	NA	gold
Q9SFU3	Q93XG4	AF-Q9SFU3-F1-model_v3	AF-Q93XG4-F1-model_v3	8.6e-318	867.5	0.00e+00	1552.09	8.093E-103	4233	platinum
Q9SFU5	K7MGF8	AF-Q9SFU5-F1-model_v3	AF-K7MGF8-F1-model_v3	1.5e-46	152.5	1.25e-06	346.54	9.629E-18	686	platinum
Q9SFU6	I1LFH9	AF-Q9SFU6-F1-model_v3	AF-I1LFH9-F1-model_v3	0.0e+00	2934.8	0.00e+00	5332.14	0.000E+00	12805	platinum
Q9SFU7	I1KZ55	AF-Q9SFU7-F1-model_v3	AF-I1KZ55-F1-model_v3	6.2e-72	217.2	1.23e-05	360.47	2.798E-17	679	platinum
Q9SFV1	I1N274	AF-Q9SFV1-F1-model_v3	AF-I1N274-F1-model_v3	2.1e-196	560.5	6.30e-07	1062.08	1.354E-51	2191	platinum
Q9SFV7	I1KZ27	AF-Q9SFV7-F1-model_v3	AF-I1KZ27-F1-model_v3	5.2e-207	580.5	0.00e+00	1129.24	4.885E-60	2628	platinum
Q9SFZ3	K7MH48	AF-Q9SFZ3-F1-model_v3	AF-K7MH48-F1-model_v3	1.6e-33	130.6	NA	NA	NA	NA	silver
Q9SG02	K7KIJ3	AF-Q9SG02-F1-model_v3	AF-K7KIJ3-F1-model_v3	0.0e+00	1670.6	0.00e+00	3390.07	0.000E+00	8392	platinum
Q9SG77	I1MII6	AF-Q9SG77-F1-model_v3	AF-I1MII6-F1-model_v3	1.9e-231	651.0	NA	NA	NA	NA	silver
Q9SG82	I1N8N9	AF-Q9SG82-F1-model_v3	AF-I1N8N9-F1-model_v3	2.0e-103	306.6	1.03e-07	635.06	9.009E-28	1115	platinum
Q9SG91	I1MBM5	AF-Q9SG91-F1-model_v3	AF-I1MBM5-F1-model_v3	7.0e-36	115.9	0.00e+00	191.86	4.132E-09	312	platinum
Q9SGA0	I1N7U8	AF-Q9SGA0-F1-model_v3	AF-I1N7U8-F1-model_v3	6.4e-206	575.9	NA	NA	NA	NA	silver
Q9SGA5	I1JD28	AF-Q9SGA5-F1-model_v3	AF-I1JD28-F1-model_v3	6.2e-132	370.9	0.00e+00	643.09	1.344E-36	1502	platinum
Q9SGA8	I1N6B3	AF-Q9SGA8-F1-model_v3	AF-I1N6B3-F1-model_v3	1.6e-170	487.6	0.00e+00	1161.68	1.421E-52	2423	platinum
Q9SGD1	C6TEB1	AF-Q9SGD1-F1-model_v3	AF-C6TEB1-F1-model_v3	2.1e-128	370.5	NA	NA	NA	NA	silver
Q9SGE0	I1LTQ1	AF-Q9SGE0-F1-model_v3	AF-I1LTQ1-F1-model_v3	5.4e-272	738.8	0.00e+00	1126.36	5.627E-82	3211	platinum
Q9SGE3	I1LRA5	AF-Q9SGE3-F1-model_v3	AF-I1LRA5-F1-model_v3	2.3e-36	128.6	3.47e-07	479.89	NA	NA	gold
Q9SGH4	I1LUR9	AF-Q9SGH4-F1-model_v3	AF-I1LUR9-F1-model_v3	5.6e-71	217.2	1.88e-10	487.02	1.516E-16	830	platinum
Q9SGH8	A0A0R0FHK0	AF-Q9SGH8-F1-model_v3	AF-A0A0R0FHK0-F1-model_v3	6.7e-63	204.9	0.00e+00	924.19	1.344E-34	1928	platinum
Q9SGI2	A0A0R0FB29	AF-Q9SGI2-F1-model_v3	AF-A0A0R0FB29-F1-model_v3	1.6e-104	306.2	0.00e+00	736.01	2.787E-38	1532	platinum
Q9SGI7	I1N7P2	AF-Q9SGI7-F1-model_v3	AF-I1N7P2-F1-model_v3	1.7e-140	426.4	1.22e-12	1299.46	4.290E-56	2390	platinum
Q9SGN7	K7KU64	AF-Q9SGN7-F1-model_v3	AF-K7KU64-F1-model_v3	6.2e-129	382.9	4.43e-10	993.52	NA	NA	gold
Q9SGP9	I1L999	AF-Q9SGP9-F1-model_v3	AF-I1L999-F1-model_v3	1.9e-67	203.4	0.00e+00	455.30	1.888E-14	596	platinum
Q9SGQ0	I1KLR2	AF-Q9SGQ0-F1-model_v3	AF-I1KLR2-F1-model_v3	1.0e-247	685.3	3.50e-09	1050.11	3.615E-65	2546	platinum
Q9SGQ6	K7M8H4	AF-Q9SGQ6-F1-model_v3	AF-K7M8H4-F1-model_v3	1.3e-201	592.4	0.00e+00	1756.60	2.030E-47	3089	platinum
Q9SGR3	I1L788	AF-Q9SGR3-F1-model_v3	AF-I1L788-F1-model_v3	7.2e-53	170.6	NA	NA	NA	NA	silver
Q9SGS1	I1JGM9	AF-Q9SGS1-F1-model_v3	AF-I1JGM9-F1-model_v3	6.3e-193	548.1	1.50e-09	1020.16	4.817E-59	2487	platinum
Q9SGS2	I1JSY3	AF-Q9SGS2-F1-model_v3	AF-I1JSY3-F1-model_v3	4.1e-138	395.2	8.64e-13	766.09	4.979E-38	1605	platinum
Q9SGS4	A0A0R4J537	AF-Q9SGS4-F1-model_v3	AF-A0A0R4J537-F1-model_v3	2.3e-128	367.9	4.44e-16	724.66	2.484E-42	1671	platinum
Q9SGT0	A0A0R0GFQ8	AF-Q9SGT0-F1-model_v3	AF-A0A0R0GFQ8-F1-model_v3	2.6e-43	154.5	NA	NA	NA	NA	silver
Q9SGW5	I1K681	AF-Q9SGW5-F1-model_v3	AF-I1K681-F1-model_v3	1.6e-82	255.4	2.32e-06	616.21	2.144E-33	1253	platinum
Q9SGX2	K7LGH7	AF-Q9SGX2-F1-model_v3	AF-K7LGH7-F1-model_v3	3.5e-61	192.6	0.00e+00	592.90	4.758E-14	634	platinum
Q9SH30	I1N912	AF-Q9SH30-F1-model_v3	AF-I1N912-F1-model_v3	0.0e+00	1445.6	0.00e+00	2759.75	0.000E+00	6989	platinum
Q9SH55	K7L4G4	AF-Q9SH55-F1-model_v3	AF-K7L4G4-F1-model_v3	1.7e-72	247.7	1.12e-02	884.66	1.650E-23	891	platinum
Q9SH64	K7KRZ6	AF-Q9SH64-F1-model_v3	AF-K7KRZ6-F1-model_v3	2.1e-58	209.1	7.17e-09	1387.02	2.127E-69	2638	platinum
Q9SH87	I1KK89	AF-Q9SH87-F1-model_v3	AF-I1KK89-F1-model_v3	4.0e-194	544.7	0.00e+00	1033.89	8.444E-64	2570	platinum
Q9SHA0	C6T0Z4	AF-Q9SHA0-F1-model_v3	AF-C6T0Z4-F1-model_v3	2.4e-46	146.0	NA	NA	1.337E-12	600	gold
Q9SHB0	I1KB56	AF-Q9SHB0-F1-model_v3	AF-I1KB56-F1-model_v3	3.4e-134	387.5	9.10e-13	856.91	NA	NA	gold
Q9SHE7	C6SXX2	AF-Q9SHE7-F1-model_v3	AF-C6SXX2-F1-model_v3	2.5e-104	295.4	0.00e+00	454.48	3.002E-33	1286	platinum
Q9SHE8	A0A0R4J389	AF-Q9SHE8-F1-model_v3	AF-A0A0R4J389-F1-model_v3	1.1e-108	312.0	3.55e-15	593.48	9.525E-28	1174	platinum
Q9SHG6	K7MHI8	AF-Q9SHG6-F1-model_v3	AF-K7MHI8-F1-model_v3	2.1e-308	869.4	1.88e-13	1901.48	2.753E-78	3768	platinum
Q9SHG7	I1M2S8	AF-Q9SHG7-F1-model_v3	AF-I1M2S8-F1-model_v3	6.8e-52	162.9	1.49e-05	272.47	1.556E-10	419	platinum
Q9SHH0	I1KZY5	AF-Q9SHH0-F1-model_v3	AF-I1KZY5-F1-model_v3	7.4e-289	798.5	0.00e+00	1699.44	2.750E-66	3622	platinum
Q9SHI9	I1LM18	AF-Q9SHI9-F1-model_v3	AF-I1LM18-F1-model_v3	5.9e-186	522.3	0.00e+00	1054.62	3.493E-50	2423	platinum
Q9SHJ5	I1M6X4	AF-Q9SHJ5-F1-model_v3	AF-I1M6X4-F1-model_v3	1.0e-226	638.6	0.00e+00	1395.51	5.254E-79	3303	platinum
Q9SHJ8	C6THR1	AF-Q9SHJ8-F1-model_v3	AF-C6THR1-F1-model_v3	2.7e-201	560.5	0.00e+00	1100.68	1.900E-54	2518	platinum
Q9SHP5	I1LZI0	AF-Q9SHP5-F1-model_v3	AF-I1LZI0-F1-model_v3	5.4e-32	108.6	4.68e-06	215.24	5.857E-07	263	platinum
Q9SHR7	C6T8R7	AF-Q9SHR7-F1-model_v3	AF-C6T8R7-F1-model_v3	1.5e-182	502.3	0.00e+00	740.33	2.465E-40	1787	platinum
Q9SHS2	I1K513	AF-Q9SHS2-F1-model_v3	AF-I1K513-F1-model_v3	0.0e+00	1094.3	0.00e+00	2003.17	0.000E+00	5240	platinum
Q9SHU7	I1LEJ2	AF-Q9SHU7-F1-model_v3	AF-I1LEJ2-F1-model_v3	6.1e-113	328.2	1.26e-11	699.96	2.958E-23	1038	platinum
Q9SHU9	C6TL91	AF-Q9SHU9-F1-model_v3	AF-C6TL91-F1-model_v3	1.6e-45	148.7	6.04e-12	410.42	5.678E-12	449	platinum
Q9SHZ8	K7K7U2	AF-Q9SHZ8-F1-model_v3	AF-K7K7U2-F1-model_v3	7.5e-303	849.7	0.00e+00	2302.78	3.123E-65	4421	platinum
Q9SI03	A0A0R0IJU7	AF-Q9SI03-F1-model_v3	AF-A0A0R0IJU7-F1-model_v3	1.6e-103	320.1	NA	NA	2.677E-25	1206	gold
Q9SI32	I1LP93	AF-Q9SI32-F1-model_v3	AF-I1LP93-F1-model_v3	2.8e-149	426.8	1.11e-13	730.75	2.167E-43	1879	platinum
Q9SI36	I1JIJ6	AF-Q9SI36-F1-model_v3	AF-I1JIJ6-F1-model_v3	1.8e-67	199.5	0.00e+00	311.94	1.753E-14	743	platinum
Q9SI37	I1JJR0	AF-Q9SI37-F1-model_v3	AF-I1JJR0-F1-model_v3	3.2e-76	248.4	2.87e-02	823.30	6.194E-26	1147	platinum
Q9SI53	I1K2X3	AF-Q9SI53-F1-model_v3	AF-I1K2X3-F1-model_v3	0.0e+00	880.6	0.00e+00	1809.19	4.035E-57	3750	platinum
Q9SI54	A0A0R4J3D2	AF-Q9SI54-F1-model_v3	AF-A0A0R4J3D2-F1-model_v3	1.1e-60	180.6	0.00e+00	287.60	1.190E-16	745	platinum
Q9SI75	I1K0K6	AF-Q9SI75-F1-model_v3	AF-I1K0K6-F1-model_v3	0.0e+00	1318.9	0.00e+00	2236.03	0.000E+00	6175	platinum
Q9SI77	I1LWA3	AF-Q9SI77-F1-model_v3	AF-I1LWA3-F1-model_v3	9.3e-157	440.3	0.00e+00	855.21	3.392E-34	1846	platinum
Q9SIA5	K7K799	AF-Q9SIA5-F1-model_v3	AF-K7K799-F1-model_v3	4.9e-168	482.6	NA	NA	NA	NA	silver
Q9SIA8	I1LK78	AF-Q9SIA8-F1-model_v3	AF-I1LK78-F1-model_v3	1.8e-93	284.6	NA	NA	NA	NA	silver
Q9SIB5	K7K8Z9	AF-Q9SIB5-F1-model_v3	AF-K7K8Z9-F1-model_v3	4.9e-121	366.7	1.52e-10	1079.37	9.048E-52	2074	platinum
Q9SIC8	I1MLA5	AF-Q9SIC8-F1-model_v3	AF-I1MLA5-F1-model_v3	1.1e-54	172.9	1.92e-05	294.58	NA	NA	gold
Q9SIC9	I1KWM1	AF-Q9SIC9-F1-model_v3	AF-I1KWM1-F1-model_v3	7.7e-101	335.5	3.53e-14	2145.30	NA	NA	gold
Q9SIE0	I1L044	AF-Q9SIE0-F1-model_v3	AF-I1L044-F1-model_v3	8.9e-118	339.3	0.00e+00	621.01	5.767E-39	1680	platinum
Q9SIE1	I1KT56	AF-Q9SIE1-F1-model_v3	AF-I1KT56-F1-model_v3	1.5e-229	638.3	0.00e+00	1277.37	2.427E-74	3113	platinum
Q9SIF5	I1J668	AF-Q9SIF5-F1-model_v3	AF-I1J668-F1-model_v3	2.8e-91	278.5	NA	NA	9.423E-37	1500	gold
Q9SIH1	A0A0R4J2Z8	AF-Q9SIH1-F1-model_v3	AF-A0A0R4J2Z8-F1-model_v3	1.0e-105	299.7	NA	NA	4.887E-31	1323	gold
Q9SIH3	I1L0P5	AF-Q9SIH3-F1-model_v3	AF-I1L0P5-F1-model_v3	1.6e-46	154.1	NA	NA	4.762E-22	906	gold
Q9SIH5	I1NAR1	AF-Q9SIH5-F1-model_v3	AF-I1NAR1-F1-model_v3	2.3e-73	229.9	NA	NA	NA	NA	silver
Q9SII4	C6SZF7	AF-Q9SII4-F1-model_v3	AF-C6SZF7-F1-model_v3	2.9e-23	88.6	7.52e-07	290.49	2.842E-09	345	platinum
Q9SII5	I1NIB1	AF-Q9SII5-F1-model_v3	AF-I1NIB1-F1-model_v3	2.4e-186	519.2	0.00e+00	932.32	2.606E-60	2308	platinum
Q9SIJ7	I1JMB0	AF-Q9SIJ7-F1-model_v3	AF-I1JMB0-F1-model_v3	0.0e+00	1049.7	0.00e+00	2096.26	0.000E+00	5445	platinum
Q9SIK7	I1JZI3	AF-Q9SIK7-F1-model_v3	AF-I1JZI3-F1-model_v3	3.2e-148	428.3	3.23e-13	1038.76	4.580E-35	1876	platinum
Q9SIL5	A0A0R0JDV3	AF-Q9SIL5-F1-model_v3	AF-A0A0R0JDV3-F1-model_v3	1.7e-198	564.7	0.00e+00	1550.44	8.259E-44	2746	platinum
Q9SIL7	A0A0R0GWM0	AF-Q9SIL7-F1-model_v3	AF-A0A0R0GWM0-F1-model_v3	8.2e-65	202.6	NA	NA	1.526E-28	1101	gold
Q9SIN3	Q39846	AF-Q9SIN3-F1-model_v3	AF-Q39846-F1-model_v3	8.3e-07	52.8	3.66e-03	960.42	NA	NA	gold
Q9SIN7	I1M025	AF-Q9SIN7-F1-model_v3	AF-I1M025-F1-model_v3	3.6e-37	121.7	0.00e+00	275.42	2.865E-10	416	platinum
Q9SIP1	C6T5C9	AF-Q9SIP1-F1-model_v3	AF-C6T5C9-F1-model_v3	3.4e-79	240.0	0.00e+00	677.09	8.174E-34	1393	platinum
Q9SIQ8	I1KJW4	AF-Q9SIQ8-F1-model_v3	AF-I1KJW4-F1-model_v3	2.0e-33	109.8	0.00e+00	191.81	1.446E-07	280	platinum
Q9SIR5	I1M9G9	AF-Q9SIR5-F1-model_v3	AF-I1M9G9-F1-model_v3	1.5e-178	494.6	0.00e+00	863.46	2.627E-56	2311	platinum
Q9SIS7	I1KYS7	AF-Q9SIS7-F1-model_v3	AF-I1KYS7-F1-model_v3	3.9e-13	63.5	1.14e-03	203.62	9.411E-04	173	platinum
Q9SIT5	I1JY13	AF-Q9SIT5-F1-model_v3	AF-I1JY13-F1-model_v3	0.0e+00	1101.7	0.00e+00	2246.07	3.253E-94	5102	platinum
Q9SIT7	I1LQH6	AF-Q9SIT7-F1-model_v3	AF-I1LQH6-F1-model_v3	6.1e-281	787.3	0.00e+00	1943.20	2.536E-58	3960	platinum
Q9SIU0	I1JMI9	AF-Q9SIU0-F1-model_v3	AF-I1JMI9-F1-model_v3	0.0e+00	1047.3	0.00e+00	1773.01	8.721E-93	4664	platinum
Q9SIV6	K7MH27	AF-Q9SIV6-F1-model_v3	AF-K7MH27-F1-model_v3	5.5e-95	278.1	6.25e-12	576.41	2.760E-20	728	platinum
Q9SIW1	K7KSE7	AF-Q9SIW1-F1-model_v3	AF-K7KSE7-F1-model_v3	2.7e-106	327.8	NA	NA	NA	NA	silver
Q9SIX2	I1MR57	AF-Q9SIX2-F1-model_v3	AF-I1MR57-F1-model_v3	1.2e-52	196.8	4.17e-03	1012.30	NA	NA	gold
Q9SIZ2	I1LMU3	AF-Q9SIZ2-F1-model_v3	AF-I1LMU3-F1-model_v3	5.2e-217	595.9	0.00e+00	987.13	4.738E-62	2579	platinum
Q9SIZ6	I1JIF3	AF-Q9SIZ6-F1-model_v3	AF-I1JIF3-F1-model_v3	1.0e-116	343.2	NA	NA	2.096E-46	1936	gold
Q9SJ00	A0A0R0JL03	AF-Q9SJ00-F1-model_v3	AF-A0A0R0JL03-F1-model_v3	3.0e-91	270.0	8.55e-15	627.05	1.358E-34	1438	platinum
Q9SJ03	A0A0R0ILX5	AF-Q9SJ03-F1-model_v3	AF-A0A0R0ILX5-F1-model_v3	3.2e-168	471.5	0.00e+00	911.50	4.930E-33	1869	platinum
Q9SJ12	I1K4S0	AF-Q9SJ12-F1-model_v3	AF-I1K4S0-F1-model_v3	1.3e-113	325.9	0.00e+00	635.74	4.650E-28	1246	platinum
Q9SJ13	I1K4S1	AF-Q9SJ13-F1-model_v3	AF-I1K4S1-F1-model_v3	1.3e-237	664.8	0.00e+00	1402.55	7.407E-80	3437	platinum
Q9SJ17	Q9SWB2	AF-Q9SJ17-F1-model_v3	AF-Q9SWB2-F1-model_v3	6.4e-37	119.0	2.07e-03	126.84	2.027E-07	250	platinum
Q9SJ41	K7MQL7	AF-Q9SJ41-F1-model_v3	AF-K7MQL7-F1-model_v3	6.1e-126	380.2	9.34e-06	912.12	8.115E-40	1733	platinum
Q9SJ60	C6T2Q7	AF-Q9SJ60-F1-model_v3	AF-C6T2Q7-F1-model_v3	2.0e-48	156.4	5.06e-06	328.99	1.332E-18	737	platinum
Q9SJ73	K7KSZ8	AF-Q9SJ73-F1-model_v3	AF-K7KSZ8-F1-model_v3	4.7e-254	719.2	0.00e+00	1903.61	7.228E-47	3129	platinum
Q9SJ74	I1M686	AF-Q9SJ74-F1-model_v3	AF-I1M686-F1-model_v3	6.9e-204	567.4	0.00e+00	1128.67	1.091E-55	2490	platinum
Q9SJ81	A0A0R0G7B7	AF-Q9SJ81-F1-model_v3	AF-A0A0R0G7B7-F1-model_v3	1.9e-84	253.1	7.66e-12	662.06	8.871E-33	1310	platinum
Q9SJ85	I1NE75	AF-Q9SJ85-F1-model_v3	AF-I1NE75-F1-model_v3	1.4e-284	786.6	0.00e+00	1416.97	5.573E-62	3263	platinum
Q9SJA7	I1JUN3	AF-Q9SJA7-F1-model_v3	AF-I1JUN3-F1-model_v3	2.2e-168	478.0	0.00e+00	1097.02	1.194E-67	2710	platinum
Q9SJA8	B0LUR5	AF-Q9SJA8-F1-model_v3	AF-B0LUR5-F1-model_v3	7.3e-122	352.4	NA	NA	8.125E-31	1214	gold
Q9SJD4	K7N1D8	AF-Q9SJD4-F1-model_v3	AF-K7N1D8-F1-model_v3	0.0e+00	1045.8	0.00e+00	2033.93	0.000E+00	5089	platinum
Q9SJD5	I1KMA6	AF-Q9SJD5-F1-model_v3	AF-I1KMA6-F1-model_v3	1.9e-67	203.4	4.18e-10	418.64	2.738E-18	656	platinum
Q9SJG6	I1M6X6	AF-Q9SJG6-F1-model_v3	AF-I1M6X6-F1-model_v3	1.1e-172	498.8	NA	NA	1.026E-40	2619	gold
Q9SJG7	K7MR65	AF-Q9SJG7-F1-model_v3	AF-K7MR65-F1-model_v3	6.9e-48	162.2	5.35e-11	508.98	4.568E-18	881	platinum
Q9SJH0	I1JJ47	AF-Q9SJH0-F1-model_v3	AF-I1JJ47-F1-model_v3	4.7e-21	82.0	1.54e-07	251.26	2.699E-08	296	platinum
Q9SJH2	K7KBD7	AF-Q9SJH2-F1-model_v3	AF-K7KBD7-F1-model_v3	1.0e-220	617.5	0.00e+00	1389.76	1.177E-58	2973	platinum
Q9SJH8	I1KY41	AF-Q9SJH8-F1-model_v3	AF-I1KY41-F1-model_v3	1.8e-68	213.0	4.50e-11	553.45	5.813E-19	759	platinum
Q9SJH9	I1KEZ0	AF-Q9SJH9-F1-model_v3	AF-I1KEZ0-F1-model_v3	5.5e-103	297.7	0.00e+00	539.76	3.147E-22	1183	platinum
Q9SJI7	K7LUH7	AF-Q9SJI7-F1-model_v3	AF-K7LUH7-F1-model_v3	3.8e-104	308.1	NA	NA	NA	NA	silver
Q9SJK3	I1LRB1	AF-Q9SJK3-F1-model_v3	AF-I1LRB1-F1-model_v3	0.0e+00	1070.8	NA	NA	0.000E+00	5830	gold
Q9SJK4	I1LZ91	AF-Q9SJK4-F1-model_v3	AF-I1LZ91-F1-model_v3	6.4e-44	140.2	7.52e-11	271.62	6.076E-14	529	platinum
Q9SJK9	I1KN39	AF-Q9SJK9-F1-model_v3	AF-I1KN39-F1-model_v3	3.9e-207	594.0	0.00e+00	1778.76	9.024E-45	3073	platinum
Q9SJL4	C6SVQ9	AF-Q9SJL4-F1-model_v3	AF-C6SVQ9-F1-model_v3	2.8e-65	197.2	8.37e-08	288.39	3.345E-15	640	platinum
Q9SJM0	A0A368UI93	AF-Q9SJM0-F1-model_v3	AF-A0A368UI93-F1-model_v3	0.0e+00	2958.7	0.00e+00	5406.79	0.000E+00	12838	platinum
Q9SJM1	I1LZ99	AF-Q9SJM1-F1-model_v3	AF-I1LZ99-F1-model_v3	2.8e-200	559.3	0.00e+00	1087.64	1.115E-59	2737	platinum
Q9SJM3	K7LHT6	AF-Q9SJM3-F1-model_v3	AF-K7LHT6-F1-model_v3	3.6e-289	824.3	NA	NA	3.150E-80	3441	gold
Q9SJM7	I1NAL7	AF-Q9SJM7-F1-model_v3	AF-I1NAL7-F1-model_v3	2.3e-188	522.7	0.00e+00	953.06	8.120E-62	2436	platinum
Q9SJQ4	I1NAI1	AF-Q9SJQ4-F1-model_v3	AF-I1NAI1-F1-model_v3	2.0e-76	232.6	NA	NA	4.216E-30	1119	gold
Q9SJQ6	K7KFY3	AF-Q9SJQ6-F1-model_v3	AF-K7KFY3-F1-model_v3	0.0e+00	966.5	NA	NA	4.123E-91	4242	gold
Q9SJR0	A0A0R0KRL3	AF-Q9SJR0-F1-model_v3	AF-A0A0R0KRL3-F1-model_v3	1.0e-62	192.6	4.19e-11	423.66	9.471E-22	864	platinum
Q9SJR2	I1JPY1	AF-Q9SJR2-F1-model_v3	AF-I1JPY1-F1-model_v3	3.4e-173	493.4	0.00e+00	1173.98	1.618E-46	2245	platinum
Q9SJT8	A0A0R0HFM2	AF-Q9SJT8-F1-model_v3	AF-A0A0R0HFM2-F1-model_v3	5.2e-46	150.6	NA	NA	NA	NA	silver
Q9SJU8	A0A0R0K7S6	AF-Q9SJU8-F1-model_v3	AF-A0A0R0K7S6-F1-model_v3	1.2e-29	101.7	1.72e-03	123.40	4.658E-07	276	platinum
Q9SJU9	I1LPX1	AF-Q9SJU9-F1-model_v3	AF-I1LPX1-F1-model_v3	4.3e-189	525.8	0.00e+00	978.61	3.112E-63	2499	platinum
Q9SJV2	C6TKQ3	AF-Q9SJV2-F1-model_v3	AF-C6TKQ3-F1-model_v3	3.9e-200	550.4	0.00e+00	909.79	4.502E-59	2394	platinum
Q9SJV6	I1NFS9	AF-Q9SJV6-F1-model_v3	AF-I1NFS9-F1-model_v3	4.8e-10	59.3	1.09e-02	414.00	NA	NA	gold
Q9SJV8	A0A0R0ISF6	AF-Q9SJV8-F1-model_v3	AF-A0A0R0ISF6-F1-model_v3	5.3e-85	253.4	0.00e+00	640.28	6.944E-33	1497	platinum
Q9SJW0	K7LBB2	AF-Q9SJW0-F1-model_v3	AF-K7LBB2-F1-model_v3	2.9e-99	294.7	3.33e-07	598.75	9.153E-27	964	platinum
Q9SJW1	A0A0R0FG98	AF-Q9SJW1-F1-model_v3	AF-A0A0R0FG98-F1-model_v3	1.3e-48	176.0	2.96e-05	859.57	9.367E-27	1113	platinum
Q9SJW7	I1LDH1	AF-Q9SJW7-F1-model_v3	AF-I1LDH1-F1-model_v3	1.8e-183	516.9	0.00e+00	1067.49	6.731E-51	2252	platinum
Q9SJY7	A0A0R0KYA8	AF-Q9SJY7-F1-model_v3	AF-A0A0R0KYA8-F1-model_v3	8.2e-04	37.7	5.46e-04	217.45	NA	NA	gold
Q9SJZ2	I1LVH8	AF-Q9SJZ2-F1-model_v3	AF-I1LVH8-F1-model_v3	8.1e-173	483.4	0.00e+00	933.77	1.009E-47	2190	platinum
Q9SJZ3	A0A0R0LJ02	AF-Q9SJZ3-F1-model_v3	AF-A0A0R0LJ02-F1-model_v3	3.2e-262	738.0	0.00e+00	1857.24	1.168E-49	3275	platinum
Q9SJZ7	A0A0R0ILH6	AF-Q9SJZ7-F1-model_v3	AF-A0A0R0ILH6-F1-model_v3	2.6e-222	617.5	0.00e+00	1185.27	2.443E-73	2864	platinum
Q9SK02	I1MDL7	AF-Q9SK02-F1-model_v3	AF-I1MDL7-F1-model_v3	1.3e-177	498.8	0.00e+00	957.51	2.100E-56	2329	platinum
Q9SK03	I1LR16	AF-Q9SK03-F1-model_v3	AF-I1LR16-F1-model_v3	4.6e-140	411.0	NA	NA	NA	NA	silver
Q9SK09	I1M4N3	AF-Q9SK09-F1-model_v3	AF-I1M4N3-F1-model_v3	4.0e-155	451.4	1.25e-14	1021.89	5.191E-56	2517	platinum
Q9SK10	A0A0R0H1U4	AF-Q9SK10-F1-model_v3	AF-A0A0R0H1U4-F1-model_v3	4.5e-132	385.2	7.89e-08	841.30	2.304E-43	1677	platinum
Q9SK27	I1K8M1	AF-Q9SK27-F1-model_v3	AF-I1K8M1-F1-model_v3	8.5e-61	187.2	NA	NA	1.595E-21	850	gold
Q9SK28	A0A0R0FQ13	AF-Q9SK28-F1-model_v3	AF-A0A0R0FQ13-F1-model_v3	0.0e+00	1120.1	NA	NA	3.847E-100	5016	gold
Q9SK34	I1N3N2	AF-Q9SK34-F1-model_v3	AF-I1N3N2-F1-model_v3	1.2e-231	650.6	8.55e-15	1272.04	4.918E-67	2810	platinum
Q9SK36	I1MX33	AF-Q9SK36-F1-model_v3	AF-I1MX33-F1-model_v3	5.4e-63	190.7	2.36e-10	388.49	1.268E-11	427	platinum
Q9SK39	I1K8L5	AF-Q9SK39-F1-model_v3	AF-I1K8L5-F1-model_v3	6.1e-54	164.1	0.00e+00	287.76	1.334E-18	720	platinum
Q9SK61	I1LBR5	AF-Q9SK61-F1-model_v3	AF-I1LBR5-F1-model_v3	3.5e-114	334.7	3.73e-11	683.30	8.230E-38	1511	platinum
Q9SK66	I1LYP7	AF-Q9SK66-F1-model_v3	AF-I1LYP7-F1-model_v3	5.5e-214	594.3	0.00e+00	1025.87	2.986E-61	2613	platinum
