Uniprot_arabadopsis	Uniprot_maize	AlphaFold_arabadopsis	AlphaFold_maize	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q9M1J8	B6T8Z1	AF-Q9M1J8-F1-model_v3	AF-B6T8Z1-F1-model_v3	2.4e-96	285.8	1.67e-15	662.25	1.463E-37	1479	platinum
Q9M1K3	Q9ATM1	AF-Q9M1K3-F1-model_v3	AF-Q9ATM1-F1-model_v3	2.1e-75	228.8	0.00e+00	624.63	4.347E-18	978	platinum
Q9M1K5	A0A1D6NQE5	AF-Q9M1K5-F1-model_v3	AF-A0A1D6NQE5-F1-model_v3	1.5e-127	381.3	NA	NA	2.353E-37	1730	gold
Q9M1L7	K7VDK5	AF-Q9M1L7-F1-model_v3	AF-K7VDK5-F1-model_v3	1.3e-126	390.2	5.55e-16	1456.83	8.284E-68	2819	platinum
Q9M1L9	A0A1D6L6V1	AF-Q9M1L9-F1-model_v3	AF-A0A1D6L6V1-F1-model_v3	7.5e-57	189.9	3.06e-03	407.46	1.543E-25	1020	platinum
Q9M1P5	A0A1D6N919	AF-Q9M1P5-F1-model_v3	AF-A0A1D6N919-F1-model_v3	4.7e-129	359.8	0.00e+00	527.19	1.445E-38	1442	platinum
Q9M1Q4	A0A1D6IKS9	AF-Q9M1Q4-F1-model_v3	AF-A0A1D6IKS9-F1-model_v3	1.0e-110	348.2	2.79e-05	1248.17	5.557E-48	1986	platinum
Q9M1Q5	A0A1D6F282	AF-Q9M1Q5-F1-model_v3	AF-A0A1D6F282-F1-model_v3	9.1e-28	99.8	3.60e-06	228.01	2.069E-06	355	platinum
Q9M1R2	K7UDG5	AF-Q9M1R2-F1-model_v3	AF-K7UDG5-F1-model_v3	2.8e-306	836.3	0.00e+00	1403.15	4.994E-93	3764	platinum
Q9M1R7	K7UWY3	AF-Q9M1R7-F1-model_v3	AF-K7UWY3-F1-model_v3	2.1e-20	87.0	NA	NA	NA	NA	silver
Q9M1S3	B4FJA7	AF-Q9M1S3-F1-model_v3	AF-B4FJA7-F1-model_v3	5.3e-54	176.0	NA	NA	1.343E-19	763	gold
Q9M1S8	A0A1D6L709	AF-Q9M1S8-F1-model_v3	AF-A0A1D6L709-F1-model_v3	3.8e-220	632.9	NA	NA	1.292E-88	3869	gold
Q9M1T1	C4IYW6	AF-Q9M1T1-F1-model_v3	AF-C4IYW6-F1-model_v3	2.4e-163	461.5	0.00e+00	945.07	4.027E-58	2242	platinum
Q9M1V2	B4FSB6	AF-Q9M1V2-F1-model_v3	AF-B4FSB6-F1-model_v3	1.2e-82	253.8	NA	NA	NA	NA	silver
Q9M1V3	K7TU07	AF-Q9M1V3-F1-model_v3	AF-K7TU07-F1-model_v3	8.5e-295	841.6	0.00e+00	2595.71	NA	NA	gold
Q9M1W7	A0A1D6GSB0	AF-Q9M1W7-F1-model_v3	AF-A0A1D6GSB0-F1-model_v3	2.0e-148	422.5	0.00e+00	990.29	2.267E-50	2293	platinum
Q9M1X0	C0PLX3	AF-Q9M1X0-F1-model_v3	AF-C0PLX3-F1-model_v3	1.8e-87	261.5	0.00e+00	696.01	7.151E-30	1277	platinum
Q9M1X2	A0A1D6EZ89	AF-Q9M1X2-F1-model_v3	AF-A0A1D6EZ89-F1-model_v3	6.5e-86	258.1	2.91e-13	665.16	1.231E-33	1388	platinum
Q9M1X8	K7UH50	AF-Q9M1X8-F1-model_v3	AF-K7UH50-F1-model_v3	7.5e-74	226.9	4.77e-15	641.14	NA	NA	gold
Q9M1Y0	B4FRB9	AF-Q9M1Y0-F1-model_v3	AF-B4FRB9-F1-model_v3	9.3e-155	449.1	4.44e-16	1068.87	6.131E-55	2210	platinum
Q9M1Z4	K7UJS9	AF-Q9M1Z4-F1-model_v3	AF-K7UJS9-F1-model_v3	4.4e-49	159.8	5.18e-03	308.13	3.840E-15	550	platinum
Q9M209	A0A096TT32	AF-Q9M209-F1-model_v3	AF-A0A096TT32-F1-model_v3	3.2e-164	469.9	2.01e-14	997.55	5.387E-57	2293	platinum
Q9M219	B6SVQ8	AF-Q9M219-F1-model_v3	AF-B6SVQ8-F1-model_v3	4.1e-103	322.4	0.00e+00	1272.76	3.159E-32	1962	platinum
Q9M223	A0A1D6G9Q3	AF-Q9M223-F1-model_v3	AF-A0A1D6G9Q3-F1-model_v3	2.0e-85	253.4	0.00e+00	575.45	3.712E-24	927	platinum
Q9M236	C0HIA5	AF-Q9M236-F1-model_v3	AF-C0HIA5-F1-model_v3	2.8e-155	443.4	0.00e+00	991.07	4.794E-50	2070	platinum
Q9M263	A0A1D6HTL7	AF-Q9M263-F1-model_v3	AF-A0A1D6HTL7-F1-model_v3	5.5e-89	261.9	NA	NA	NA	NA	silver
Q9M277	B6U6C2	AF-Q9M277-F1-model_v3	AF-B6U6C2-F1-model_v3	1.0e-101	298.5	2.50e-10	586.50	7.819E-23	1101	platinum
Q9M287	A0A1D6KMJ3	AF-Q9M287-F1-model_v3	AF-A0A1D6KMJ3-F1-model_v3	9.2e-60	184.9	0.00e+00	524.28	5.755E-24	1171	platinum
Q9M292	B4FZF8	AF-Q9M292-F1-model_v3	AF-B4FZF8-F1-model_v3	2.3e-264	733.4	0.00e+00	1594.79	3.735E-93	3702	platinum
Q9M2A1	A0A1D6KJE3	AF-Q9M2A1-F1-model_v3	AF-A0A1D6KJE3-F1-model_v3	7.8e-110	326.2	NA	NA	6.521E-24	1408	gold
Q9M2C6	A0A1D6E3J1	AF-Q9M2C6-F1-model_v3	AF-A0A1D6E3J1-F1-model_v3	3.3e-17	86.3	NA	NA	NA	NA	silver
Q9M2C8	A0A1D6GUF5	AF-Q9M2C8-F1-model_v3	AF-A0A1D6GUF5-F1-model_v3	3.5e-76	247.7	NA	NA	3.773E-28	1676	gold
Q9M2C9	C0P8T8	AF-Q9M2C9-F1-model_v3	AF-C0P8T8-F1-model_v3	6.2e-71	225.7	0.00e+00	818.95	1.311E-34	1515	platinum
Q9M2D9	C0PCI6	AF-Q9M2D9-F1-model_v3	AF-C0PCI6-F1-model_v3	1.5e-86	261.2	NA	NA	NA	NA	silver
Q9M2E4	A0A1D6HZ82	AF-Q9M2E4-F1-model_v3	AF-A0A1D6HZ82-F1-model_v3	1.8e-29	110.2	NA	NA	3.262E-13	607	gold
Q9M2E8	C0P834	AF-Q9M2E8-F1-model_v3	AF-C0P834-F1-model_v3	1.3e-286	809.7	NA	NA	1.041E-87	4143	gold
Q9M2J7	A0A1D6KM00	AF-Q9M2J7-F1-model_v3	AF-A0A1D6KM00-F1-model_v3	1.5e-62	194.1	NA	NA	NA	NA	silver
Q9M2J9	C4J0R0	AF-Q9M2J9-F1-model_v3	AF-C4J0R0-F1-model_v3	8.2e-60	179.9	3.90e-10	330.87	3.845E-13	419	platinum
Q9M2K4	C0HG10	AF-Q9M2K4-F1-model_v3	AF-C0HG10-F1-model_v3	3.9e-63	202.2	NA	NA	NA	NA	silver
Q9M2K6	B4FGE4	AF-Q9M2K6-F1-model_v3	AF-B4FGE4-F1-model_v3	4.7e-37	126.3	NA	NA	1.149E-15	639	gold
Q9M2L3	C0P4V7	AF-Q9M2L3-F1-model_v3	AF-C0P4V7-F1-model_v3	7.6e-127	369.4	3.33e-16	850.36	3.256E-36	1679	platinum
Q9M2N5	A0A1D6GI76	AF-Q9M2N5-F1-model_v3	AF-A0A1D6GI76-F1-model_v3	6.5e-187	567.8	1.16e-12	1581.33	1.916E-55	2939	platinum
Q9M2P2	C0HGV8	AF-Q9M2P2-F1-model_v3	AF-C0HGV8-F1-model_v3	1.0e-188	529.3	0.00e+00	1095.34	1.515E-44	2303	platinum
Q9M2P8	B4FSN8	AF-Q9M2P8-F1-model_v3	AF-B4FSN8-F1-model_v3	8.2e-11	58.2	NA	NA	NA	NA	silver
Q9M2P9	B4FHB7	AF-Q9M2P9-F1-model_v3	AF-B4FHB7-F1-model_v3	1.1e-53	181.4	6.14e-10	710.83	2.274E-30	1395	platinum
Q9M2Q7	B4FA30	AF-Q9M2Q7-F1-model_v3	AF-B4FA30-F1-model_v3	2.8e-48	160.6	5.92e-08	449.99	2.162E-17	725	platinum
Q9M2S4	B6SWH3	AF-Q9M2S4-F1-model_v3	AF-B6SWH3-F1-model_v3	3.8e-214	615.9	NA	NA	2.280E-83	3542	gold
Q9M2S6	A0A1D6JXX4	AF-Q9M2S6-F1-model_v3	AF-A0A1D6JXX4-F1-model_v3	6.4e-117	337.4	1.84e-06	542.03	4.227E-30	1130	platinum
Q9M2S7	A0A1D6M5T1	AF-Q9M2S7-F1-model_v3	AF-A0A1D6M5T1-F1-model_v3	4.0e-83	246.5	0.00e+00	527.11	1.752E-25	1120	platinum
Q9M2T1	A0A1D6LED5	AF-Q9M2T1-F1-model_v3	AF-A0A1D6LED5-F1-model_v3	1.9e-260	761.9	0.00e+00	2255.87	1.606E-71	4275	platinum
Q9M2T2	B6T411	AF-Q9M2T2-F1-model_v3	AF-B6T411-F1-model_v3	6.4e-50	157.5	1.57e-14	373.80	2.148E-18	873	platinum
Q9M2T7	A0A1D6M5T7	AF-Q9M2T7-F1-model_v3	AF-A0A1D6M5T7-F1-model_v3	4.6e-77	231.1	9.66e-15	474.48	1.649E-26	1062	platinum
Q9M2T9	A0A1D6JRI0	AF-Q9M2T9-F1-model_v3	AF-A0A1D6JRI0-F1-model_v3	6.6e-303	835.9	0.00e+00	1628.79	4.177E-84	3849	platinum
Q9M2U0	A0A1D6MWW7	AF-Q9M2U0-F1-model_v3	AF-A0A1D6MWW7-F1-model_v3	2.4e-27	102.4	NA	NA	5.828E-11	585	gold
Q9M2U2	A0A1D6FEB3	AF-Q9M2U2-F1-model_v3	AF-A0A1D6FEB3-F1-model_v3	5.7e-196	543.9	0.00e+00	895.17	2.328E-48	2170	platinum
Q9M2U3	B4FHI2	AF-Q9M2U3-F1-model_v3	AF-B4FHI2-F1-model_v3	6.9e-139	402.1	0.00e+00	968.48	3.790E-40	1998	platinum
Q9M2V1	A0A1D6MNR8	AF-Q9M2V1-F1-model_v3	AF-A0A1D6MNR8-F1-model_v3	4.3e-104	313.5	5.36e-07	691.01	3.171E-23	1334	platinum
Q9M2V9	A0A1D6LYW8	AF-Q9M2V9-F1-model_v3	AF-A0A1D6LYW8-F1-model_v3	2.1e-170	483.8	0.00e+00	1092.32	1.630E-40	2044	platinum
Q9M2W8	A0A1D6II87	AF-Q9M2W8-F1-model_v3	AF-A0A1D6II87-F1-model_v3	2.1e-47	173.7	5.03e-08	957.62	NA	NA	gold
Q9M2X0	K7W246	AF-Q9M2X0-F1-model_v3	AF-K7W246-F1-model_v3	7.6e-226	628.2	0.00e+00	1244.01	NA	NA	gold
Q9M2Y0	B6UIM4	AF-Q9M2Y0-F1-model_v3	AF-B6UIM4-F1-model_v3	1.6e-07	44.7	NA	NA	NA	NA	silver
Q9M2Z2	B6T9K7	AF-Q9M2Z2-F1-model_v3	AF-B6T9K7-F1-model_v3	2.0e-16	78.6	NA	NA	5.211E-48	2263	gold
Q9M2Z3	A0A1D6LDB2	AF-Q9M2Z3-F1-model_v3	AF-A0A1D6LDB2-F1-model_v3	1.1e-153	459.5	2.44e-09	1147.23	NA	NA	gold
Q9M2Z5	A0A1D6KRD9	AF-Q9M2Z5-F1-model_v3	AF-A0A1D6KRD9-F1-model_v3	3.4e-88	266.5	0.00e+00	693.97	8.991E-29	1230	platinum
Q9M305	A0A096TM19	AF-Q9M305-F1-model_v3	AF-A0A096TM19-F1-model_v3	0.0e+00	1520.4	0.00e+00	4069.04	0.000E+00	8255	platinum
Q9M308	C0PML6	AF-Q9M308-F1-model_v3	AF-C0PML6-F1-model_v3	9.3e-168	469.2	0.00e+00	844.92	1.890E-52	2323	platinum
Q9M310	C4IZ02	AF-Q9M310-F1-model_v3	AF-C4IZ02-F1-model_v3	1.0e-164	468.4	0.00e+00	1047.36	3.156E-55	2416	platinum
Q9M314	K7VEB4	AF-Q9M314-F1-model_v3	AF-K7VEB4-F1-model_v3	2.4e-235	656.4	0.00e+00	1424.90	4.798E-80	3275	platinum
Q9M329	B6UEB0	AF-Q9M329-F1-model_v3	AF-B6UEB0-F1-model_v3	2.9e-42	134.8	NA	NA	6.390E-13	610	gold
Q9M330	B6TE60	AF-Q9M330-F1-model_v3	AF-B6TE60-F1-model_v3	2.1e-67	212.6	3.07e-07	492.44	1.176E-24	1031	platinum
Q9M336	B4FR28	AF-Q9M336-F1-model_v3	AF-B4FR28-F1-model_v3	8.5e-117	337.8	1.11e-16	732.84	1.242E-41	1612	platinum
Q9M350	A0A1D6LZ80	AF-Q9M350-F1-model_v3	AF-A0A1D6LZ80-F1-model_v3	1.0e-307	862.1	8.55e-15	1679.21	3.204E-58	3500	platinum
Q9M352	B6SGX0	AF-Q9M352-F1-model_v3	AF-B6SGX0-F1-model_v3	3.1e-48	149.8	0.00e+00	311.81	6.145E-14	573	platinum
Q9M353	A0A1D6LHN0	AF-Q9M353-F1-model_v3	AF-A0A1D6LHN0-F1-model_v3	0.0e+00	916.0	0.00e+00	2078.06	3.632E-85	4551	platinum
Q9M354	A0A1D6JYA9	AF-Q9M354-F1-model_v3	AF-A0A1D6JYA9-F1-model_v3	3.4e-156	450.7	2.17e-06	864.44	NA	NA	gold
Q9M358	K7W7A4	AF-Q9M358-F1-model_v3	AF-K7W7A4-F1-model_v3	1.2e-132	406.4	2.47e-10	1369.41	1.111E-41	2100	platinum
Q9M363	B6TH76	AF-Q9M363-F1-model_v3	AF-B6TH76-F1-model_v3	6.0e-118	347.8	0.00e+00	945.44	1.921E-36	1734	platinum
Q9M367	Q4A190	AF-Q9M367-F1-model_v3	AF-Q4A190-F1-model_v3	3.2e-200	566.6	4.44e-16	1258.13	2.999E-51	2110	platinum
Q9M371	K7U6B5	AF-Q9M371-F1-model_v3	AF-K7U6B5-F1-model_v3	3.2e-91	304.7	3.43e-04	1285.32	1.037E-47	1885	platinum
Q9M385	B4FZB4	AF-Q9M385-F1-model_v3	AF-B4FZB4-F1-model_v3	1.6e-83	246.9	5.49e-12	442.41	3.912E-23	976	platinum
Q9M391	B4FXQ4	AF-Q9M391-F1-model_v3	AF-B4FXQ4-F1-model_v3	1.6e-108	317.8	0.00e+00	642.95	5.143E-34	1390	platinum
Q9M394	A0A1D6N726	AF-Q9M394-F1-model_v3	AF-A0A1D6N726-F1-model_v3	3.0e-189	537.7	1.79e-13	1109.96	1.578E-55	2431	platinum
Q9M3A3	A0A1D6NMW0	AF-Q9M3A3-F1-model_v3	AF-A0A1D6NMW0-F1-model_v3	4.1e-51	171.8	3.82e-07	631.71	2.458E-18	706	platinum
Q9M3B4	B8A2R6	AF-Q9M3B4-F1-model_v3	AF-B8A2R6-F1-model_v3	1.2e-101	309.7	0.00e+00	889.13	8.657E-41	1830	platinum
Q9M3B8	A0A1D6LHJ8	AF-Q9M3B8-F1-model_v3	AF-A0A1D6LHJ8-F1-model_v3	1.4e-67	231.9	9.02e-05	881.63	NA	NA	gold
Q9M3B9	K7VMZ7	AF-Q9M3B9-F1-model_v3	AF-K7VMZ7-F1-model_v3	0.0e+00	2112.8	0.00e+00	3734.01	0.000E+00	9044	platinum
Q9M3C6	B4FSG1	AF-Q9M3C6-F1-model_v3	AF-B4FSG1-F1-model_v3	9.1e-92	272.7	4.47e-13	634.46	1.505E-20	1096	platinum
Q9M3H5	A0A1D6GU98	AF-Q9M3H5-F1-model_v3	AF-A0A1D6GU98-F1-model_v3	0.0e+00	948.0	0.00e+00	2153.04	3.508E-93	4865	platinum
Q9M401	A0A1D6K833	AF-Q9M401-F1-model_v3	AF-A0A1D6K833-F1-model_v3	2.6e-193	541.6	NA	NA	4.574E-67	2679	gold
Q9M4A1	A0A1D6PW06	AF-Q9M4A1-F1-model_v3	AF-A0A1D6PW06-F1-model_v3	6.7e-133	384.8	0.00e+00	922.70	1.729E-41	1813	platinum
Q9M4P3	A0A1D6HJ03	AF-Q9M4P3-F1-model_v3	AF-A0A1D6HJ03-F1-model_v3	1.1e-163	483.0	NA	NA	5.277E-52	3368	gold
Q9M5J9	A0A1D6LII8	AF-Q9M5J9-F1-model_v3	AF-A0A1D6LII8-F1-model_v3	1.4e-54	181.8	NA	NA	3.236E-34	1718	gold
Q9M5P3	A0A1D6EID7	AF-Q9M5P3-F1-model_v3	AF-A0A1D6EID7-F1-model_v3	2.3e-132	384.4	7.13e-09	748.25	4.108E-24	1115	platinum
Q9M643	A0A1D6LGW2	AF-Q9M643-F1-model_v3	AF-A0A1D6LGW2-F1-model_v3	2.5e-128	385.6	NA	NA	NA	NA	silver
Q9M647	A0A1D6KL71	AF-Q9M647-F1-model_v3	AF-A0A1D6KL71-F1-model_v3	4.8e-107	327.0	4.87e-10	994.67	2.785E-27	1553	platinum
Q9M658	A0A1D6NXU7	AF-Q9M658-F1-model_v3	AF-A0A1D6NXU7-F1-model_v3	3.4e-87	318.5	NA	NA	NA	NA	silver
Q9M682	B4FV93	AF-Q9M682-F1-model_v3	AF-B4FV93-F1-model_v3	9.0e-138	398.3	0.00e+00	932.55	8.105E-53	2116	platinum
Q9M6N7	B7ZXF9	AF-Q9M6N7-F1-model_v3	AF-B7ZXF9-F1-model_v3	2.8e-246	681.0	0.00e+00	1302.69	4.533E-57	3021	platinum
Q9M7I7	B4FAJ2	AF-Q9M7I7-F1-model_v3	AF-B4FAJ2-F1-model_v3	6.0e-96	287.7	0.00e+00	818.48	5.669E-46	1778	platinum
Q9M7I9	A0A1D6KW12	AF-Q9M7I9-F1-model_v3	AF-A0A1D6KW12-F1-model_v3	6.8e-26	94.7	4.95e-05	205.77	NA	NA	gold
Q9M7K4	W5U4R8	AF-Q9M7K4-F1-model_v3	AF-W5U4R8-F1-model_v3	3.9e-302	847.0	NA	NA	6.383E-70	4001	gold
Q9M7T0	B4FSM5	AF-Q9M7T0-F1-model_v3	AF-B4FSM5-F1-model_v3	1.3e-97	281.6	0.00e+00	564.74	1.192E-35	1334	platinum
Q9M7T1	B4FJF4	AF-Q9M7T1-F1-model_v3	AF-B4FJF4-F1-model_v3	4.3e-56	175.6	NA	NA	1.232E-17	706	gold
Q9M7X9	B6T2E4	AF-Q9M7X9-F1-model_v3	AF-B6T2E4-F1-model_v3	4.2e-65	198.4	6.68e-12	439.42	1.186E-21	827	platinum
Q9M7Z1	B6TJY4	AF-Q9M7Z1-F1-model_v3	AF-B6TJY4-F1-model_v3	7.0e-179	511.9	1.13e-11	1159.29	6.087E-71	2752	platinum
Q9M810	B6TQK4	AF-Q9M810-F1-model_v3	AF-B6TQK4-F1-model_v3	7.1e-48	147.5	0.00e+00	263.75	1.659E-16	644	platinum
Q9M841	A0A1D6KTX0	AF-Q9M841-F1-model_v3	AF-A0A1D6KTX0-F1-model_v3	1.4e-170	482.3	0.00e+00	1071.00	1.051E-53	2264	platinum
Q9M843	A0A1D6KZC1	AF-Q9M843-F1-model_v3	AF-A0A1D6KZC1-F1-model_v3	7.5e-78	252.3	NA	NA	9.608E-28	1541	gold
Q9M876	A0A1D6E966	AF-Q9M876-F1-model_v3	AF-A0A1D6E966-F1-model_v3	5.5e-217	608.6	0.00e+00	1278.20	1.825E-64	2901	platinum
Q9M888	A0A1D6F4L0	AF-Q9M888-F1-model_v3	AF-A0A1D6F4L0-F1-model_v3	0.0e+00	927.5	0.00e+00	1576.68	2.774E-83	4159	platinum
Q9M8K3	B7ZYY6	AF-Q9M8K3-F1-model_v3	AF-B7ZYY6-F1-model_v3	1.5e-227	642.5	0.00e+00	1437.27	3.540E-81	3285	platinum
Q9M8K6	K7V1X7	AF-Q9M8K6-F1-model_v3	AF-K7V1X7-F1-model_v3	2.5e-60	188.0	0.00e+00	507.66	1.224E-22	942	platinum
Q9M8L4	B6TZ71	AF-Q9M8L4-F1-model_v3	AF-B6TZ71-F1-model_v3	1.9e-294	806.6	0.00e+00	1501.04	9.643E-95	3921	platinum
Q9M8L9	B4FAT9	AF-Q9M8L9-F1-model_v3	AF-B4FAT9-F1-model_v3	6.3e-185	526.2	0.00e+00	1235.68	1.122E-45	2486	platinum
Q9M8M0	A0A1D6DWJ7	AF-Q9M8M0-F1-model_v3	AF-A0A1D6DWJ7-F1-model_v3	2.6e-28	105.1	NA	NA	NA	NA	silver
Q9M8M3	B4FYY0	AF-Q9M8M3-F1-model_v3	AF-B4FYY0-F1-model_v3	6.2e-83	262.3	0.00e+00	1112.19	3.302E-31	1870	platinum
Q9M8M6	A0A1D6N883	AF-Q9M8M6-F1-model_v3	AF-A0A1D6N883-F1-model_v3	8.0e-15	72.0	NA	NA	NA	NA	silver
Q9M8M7	A0A1D6LGE4	AF-Q9M8M7-F1-model_v3	AF-A0A1D6LGE4-F1-model_v3	1.4e-189	537.0	0.00e+00	1191.74	3.345E-65	2717	platinum
Q9M8R4	B4F871	AF-Q9M8R4-F1-model_v3	AF-B4F871-F1-model_v3	2.8e-228	627.9	0.00e+00	1150.50	4.222E-78	3136	platinum
Q9M8S0	B4FBU2	AF-Q9M8S0-F1-model_v3	AF-B4FBU2-F1-model_v3	8.6e-48	148.3	1.07e-07	250.38	2.120E-12	471	platinum
Q9M8S7	B8A0U2	AF-Q9M8S7-F1-model_v3	AF-B8A0U2-F1-model_v3	3.3e-25	103.6	9.06e-07	619.74	NA	NA	gold
Q9M8S8	A0A1D6KWE2	AF-Q9M8S8-F1-model_v3	AF-A0A1D6KWE2-F1-model_v3	6.1e-132	375.9	0.00e+00	690.04	7.985E-41	1682	platinum
Q9M8T3	C0PD93	AF-Q9M8T3-F1-model_v3	AF-C0PD93-F1-model_v3	8.9e-58	180.3	0.00e+00	478.24	4.324E-22	956	platinum
Q9M8T6	B6TNG8	AF-Q9M8T6-F1-model_v3	AF-B6TNG8-F1-model_v3	6.6e-92	270.4	0.00e+00	678.61	6.380E-21	762	platinum
Q9M8W9	A0A1D6HCF8	AF-Q9M8W9-F1-model_v3	AF-A0A1D6HCF8-F1-model_v3	7.6e-70	231.9	0.00e+00	1303.04	1.920E-32	2050	platinum
Q9M8X2	B7ZWT4	AF-Q9M8X2-F1-model_v3	AF-B7ZWT4-F1-model_v3	7.3e-54	194.1	7.03e-06	873.96	NA	NA	gold
Q9M8Y0	A0A1D6H8B1	AF-Q9M8Y0-F1-model_v3	AF-A0A1D6H8B1-F1-model_v3	3.1e-282	814.3	0.00e+00	2769.49	0.000E+00	6288	platinum
Q9M8Z5	C0PD45	AF-Q9M8Z5-F1-model_v3	AF-C0PD45-F1-model_v3	4.2e-236	664.1	5.88e-15	1357.44	1.569E-73	2969	platinum
Q9M8Z7	A0A1D6EFI8	AF-Q9M8Z7-F1-model_v3	AF-A0A1D6EFI8-F1-model_v3	1.5e-302	835.5	0.00e+00	1505.25	NA	NA	gold
Q9M903	A0A1D6MPH5	AF-Q9M903-F1-model_v3	AF-A0A1D6MPH5-F1-model_v3	1.1e-138	407.9	0.00e+00	1129.05	7.574E-54	2489	platinum
Q9M907	A0A1D6HWP3	AF-Q9M907-F1-model_v3	AF-A0A1D6HWP3-F1-model_v3	1.2e-12	72.0	0.00e+00	2425.28	4.284E-63	4243	platinum
Q9M995	K7UN70	AF-Q9M995-F1-model_v3	AF-K7UN70-F1-model_v3	4.4e-255	715.3	0.00e+00	1699.79	5.673E-72	3821	platinum
Q9M9A8	A0A1D6Q9Q7	AF-Q9M9A8-F1-model_v3	AF-A0A1D6Q9Q7-F1-model_v3	2.3e-160	470.7	2.51e-13	1200.97	3.195E-62	2653	platinum
Q9M9C5	A0A1D6MLY5	AF-Q9M9C5-F1-model_v3	AF-A0A1D6MLY5-F1-model_v3	5.8e-125	385.6	NA	NA	NA	NA	silver
Q9M9E1	K7UR04	AF-Q9M9E1-F1-model_v3	AF-K7UR04-F1-model_v3	0.0e+00	1972.2	NA	NA	0.000E+00	9464	gold
Q9M9E2	A0A1D6MDJ3	AF-Q9M9E2-F1-model_v3	AF-A0A1D6MDJ3-F1-model_v3	0.0e+00	919.8	0.00e+00	2367.20	4.362E-64	4327	platinum
Q9M9E8	A0A1D6K4W0	AF-Q9M9E8-F1-model_v3	AF-A0A1D6K4W0-F1-model_v3	0.0e+00	1067.0	0.00e+00	2242.80	1.202E-103	5067	platinum
Q9M9G1	C4J997	AF-Q9M9G1-F1-model_v3	AF-C4J997-F1-model_v3	1.1e-79	253.8	5.88e-15	955.23	1.249E-31	1493	platinum
Q9M9G6	B4FMY5	AF-Q9M9G6-F1-model_v3	AF-B4FMY5-F1-model_v3	7.2e-99	305.4	3.36e-07	947.87	1.733E-33	1400	platinum
Q9M9G7	A0A1D6K4K0	AF-Q9M9G7-F1-model_v3	AF-A0A1D6K4K0-F1-model_v3	6.4e-99	288.1	0.00e+00	528.16	2.035E-26	1122	platinum
Q9M9H2	K7UQY6	AF-Q9M9H2-F1-model_v3	AF-K7UQY6-F1-model_v3	2.2e-11	57.4	3.32e-02	123.76	NA	NA	gold
Q9M9H3	B6SK48	AF-Q9M9H3-F1-model_v3	AF-B6SK48-F1-model_v3	3.2e-25	95.1	1.76e-09	338.74	3.186E-09	449	platinum
Q9M9H7	A0A1X7YGD9	AF-Q9M9H7-F1-model_v3	AF-A0A1X7YGD9-F1-model_v3	1.2e-186	530.8	0.00e+00	1192.13	1.250E-66	2680	platinum
Q9M9L0	B6TKR6	AF-Q9M9L0-F1-model_v3	AF-B6TKR6-F1-model_v3	9.7e-64	186.8	0.00e+00	239.04	4.112E-15	615	platinum
Q9M9M4	A0A1D6NWY7	AF-Q9M9M4-F1-model_v3	AF-A0A1D6NWY7-F1-model_v3	0.0e+00	1833.9	0.00e+00	2867.72	NA	NA	gold
Q9M9M6	C0P568	AF-Q9M9M6-F1-model_v3	AF-C0P568-F1-model_v3	3.4e-42	134.4	9.49e-11	254.35	4.572E-13	503	platinum
Q9M9N9	K7VHU5	AF-Q9M9N9-F1-model_v3	AF-K7VHU5-F1-model_v3	5.6e-102	305.4	4.44e-16	826.82	3.426E-36	1633	platinum
Q9M9Q6	A0A1D6MDV5	AF-Q9M9Q6-F1-model_v3	AF-A0A1D6MDV5-F1-model_v3	1.6e-147	427.9	0.00e+00	1231.93	9.213E-63	2572	platinum
Q9M9S6	B4FKQ7	AF-Q9M9S6-F1-model_v3	AF-B4FKQ7-F1-model_v3	1.6e-185	516.2	0.00e+00	927.28	1.587E-34	1906	platinum
Q9M9T1	K7U0A8	AF-Q9M9T1-F1-model_v3	AF-K7U0A8-F1-model_v3	8.9e-111	319.7	0.00e+00	665.26	6.517E-37	1451	platinum
Q9M9T9	A0A1D6GRY6	AF-Q9M9T9-F1-model_v3	AF-A0A1D6GRY6-F1-model_v3	4.3e-75	223.4	0.00e+00	464.65	1.454E-27	1026	platinum
Q9M9U3	A0A1D6HBE1	AF-Q9M9U3-F1-model_v3	AF-A0A1D6HBE1-F1-model_v3	5.5e-49	157.5	NA	NA	NA	NA	silver
Q9M9V4	A0A1D6MN42	AF-Q9M9V4-F1-model_v3	AF-A0A1D6MN42-F1-model_v3	6.2e-48	167.5	0.00e+00	864.30	6.966E-19	1098	platinum
Q9M9W3	A0A1D6FMA8	AF-Q9M9W3-F1-model_v3	AF-A0A1D6FMA8-F1-model_v3	2.8e-184	511.5	0.00e+00	897.64	7.288E-57	2281	platinum
Q9M9W7	B4F9U3	AF-Q9M9W7-F1-model_v3	AF-B4F9U3-F1-model_v3	2.6e-163	477.2	0.00e+00	1366.76	2.849E-52	2817	platinum
Q9M9X2	A0A1D6PC95	AF-Q9M9X2-F1-model_v3	AF-A0A1D6PC95-F1-model_v3	4.0e-73	260.4	7.32e-03	1206.30	NA	NA	gold
Q9M9X4	B4F9M3	AF-Q9M9X4-F1-model_v3	AF-B4F9M3-F1-model_v3	1.7e-27	109.0	NA	NA	NA	NA	silver
