Uniprot_arabadopsis	Uniprot_rice	AlphaFold_arabadopsis	AlphaFold_rice	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q9SIH1	Q93VG0	AF-Q9SIH1-F1-model_v3	AF-Q93VG0-F1-model_v3	2.4e-101	288.1	0.00e+00	468.62	2.517E-31	1332	platinum
Q9SIH5	A0A0P0XZ92	AF-Q9SIH5-F1-model_v3	AF-A0A0P0XZ92-F1-model_v3	1.5e-46	160.6	NA	NA	NA	NA	silver
Q9SII1	A0A0P0WLP5	AF-Q9SII1-F1-model_v3	AF-A0A0P0WLP5-F1-model_v3	7.8e-33	122.5	9.88e-02	228.63	NA	NA	gold
Q9SII4	Q6K5Y3	AF-Q9SII4-F1-model_v3	AF-Q6K5Y3-F1-model_v3	8.7e-18	74.3	2.00e-02	150.64	NA	NA	gold
Q9SIJ7	Q6ZDG9	AF-Q9SIJ7-F1-model_v3	AF-Q6ZDG9-F1-model_v3	0.0e+00	1012.7	0.00e+00	2084.18	0.000E+00	5356	platinum
Q9SIJ9	Q0JL04	AF-Q9SIJ9-F1-model_v3	AF-Q0JL04-F1-model_v3	4.7e-111	326.6	NA	NA	4.029E-33	1716	gold
Q9SIL5	Q75HW7	AF-Q9SIL5-F1-model_v3	AF-Q75HW7-F1-model_v3	1.7e-152	447.6	NA	NA	3.981E-38	2398	gold
Q9SIL7	Q6Z0W5	AF-Q9SIL7-F1-model_v3	AF-Q6Z0W5-F1-model_v3	8.3e-51	166.8	NA	NA	1.251E-25	992	gold
Q9SIM1	Q67U44	AF-Q9SIM1-F1-model_v3	AF-Q67U44-F1-model_v3	4.8e-16	65.9	3.64e-02	87.82	NA	NA	gold
Q9SIM4	Q7X752	AF-Q9SIM4-F1-model_v3	AF-Q7X752-F1-model_v3	4.8e-73	214.2	NA	NA	1.180E-20	841	gold
Q9SIM9	Q5VMP0	AF-Q9SIM9-F1-model_v3	AF-Q5VMP0-F1-model_v3	3.0e-206	597.0	0.00e+00	1740.02	3.931E-76	3442	platinum
Q9SIP1	Q6YTX5	AF-Q9SIP1-F1-model_v3	AF-Q6YTX5-F1-model_v3	4.5e-36	129.0	NA	NA	1.230E-24	1029	gold
Q9SIR5	Q69LQ9	AF-Q9SIR5-F1-model_v3	AF-Q69LQ9-F1-model_v3	4.2e-173	480.3	0.00e+00	862.73	2.017E-55	2273	platinum
Q9SIS3	Q0J1C5	AF-Q9SIS3-F1-model_v3	AF-Q0J1C5-F1-model_v3	8.1e-220	623.6	0.00e+00	1495.46	1.689E-46	2400	platinum
Q9SIS4	Q10PD3	AF-Q9SIS4-F1-model_v3	AF-Q10PD3-F1-model_v3	2.4e-164	471.1	NA	NA	3.669E-56	2282	gold
Q9SIT5	A0A0P0V9Q3	AF-Q9SIT5-F1-model_v3	AF-A0A0P0V9Q3-F1-model_v3	1.8e-315	890.6	0.00e+00	2079.69	7.705E-81	4386	platinum
Q9SIU0	Q7F190	AF-Q9SIU0-F1-model_v3	AF-Q7F190-F1-model_v3	0.0e+00	991.9	0.00e+00	1753.93	1.071E-89	4508	platinum
Q9SIU2	Q10LJ0	AF-Q9SIU2-F1-model_v3	AF-Q10LJ0-F1-model_v3	0.0e+00	1044.3	0.00e+00	2326.57	7.274E-69	4561	platinum
Q9SIV3	Q5Z5I4	AF-Q9SIV3-F1-model_v3	AF-Q5Z5I4-F1-model_v3	9.2e-83	261.2	1.31e-05	697.04	9.175E-28	1098	platinum
Q9SIY3	Q6YVN9	AF-Q9SIY3-F1-model_v3	AF-Q6YVN9-F1-model_v3	1.4e-48	157.9	0.00e+00	538.10	2.098E-23	1042	platinum
Q9SIZ2	Q10MT2	AF-Q9SIZ2-F1-model_v3	AF-Q10MT2-F1-model_v3	1.0e-185	516.2	0.00e+00	979.25	1.487E-57	2394	platinum
Q9SIZ3	Q6ATW5	AF-Q9SIZ3-F1-model_v3	AF-Q6ATW5-F1-model_v3	5.8e-256	716.8	NA	NA	NA	NA	silver
Q9SIZ6	Q5QLD0	AF-Q9SIZ6-F1-model_v3	AF-Q5QLD0-F1-model_v3	1.7e-102	306.6	NA	NA	2.157E-41	1731	gold
Q9SIZ8	A0A0P0X9C1	AF-Q9SIZ8-F1-model_v3	AF-A0A0P0X9C1-F1-model_v3	9.3e-93	299.7	NA	NA	3.476E-20	1276	gold
Q9SJ02	Q7XPH5	AF-Q9SJ02-F1-model_v3	AF-Q7XPH5-F1-model_v3	2.0e-55	174.5	8.65e-08	392.25	7.783E-14	495	platinum
Q9SJ03	Q0J9P0	AF-Q9SJ03-F1-model_v3	AF-Q0J9P0-F1-model_v3	1.8e-96	283.1	NA	NA	8.195E-14	827	gold
Q9SJ04	Q8H451	AF-Q9SJ04-F1-model_v3	AF-Q8H451-F1-model_v3	2.2e-61	201.8	0.00e+00	858.99	2.764E-38	1684	platinum
Q9SJ12	Q6ZG90	AF-Q9SJ12-F1-model_v3	AF-Q6ZG90-F1-model_v3	1.2e-103	300.1	0.00e+00	597.75	1.395E-25	1139	platinum
Q9SJ13	Q5JMC7	AF-Q9SJ13-F1-model_v3	AF-Q5JMC7-F1-model_v3	3.8e-229	641.3	0.00e+00	1341.51	1.601E-74	3209	platinum
Q9SJ20	Q5VRF5	AF-Q9SJ20-F1-model_v3	AF-Q5VRF5-F1-model_v3	0.0e+00	1458.4	0.00e+00	2376.45	0.000E+00	6414	platinum
Q9SJ40	Q7XVC4	AF-Q9SJ40-F1-model_v3	AF-Q7XVC4-F1-model_v3	0.0e+00	1360.1	0.00e+00	2584.15	0.000E+00	6006	platinum
Q9SJ44	Q69TB0	AF-Q9SJ44-F1-model_v3	AF-Q69TB0-F1-model_v3	5.9e-98	278.1	0.00e+00	431.09	2.281E-27	1123	platinum
Q9SJ60	Q5ZD06	AF-Q9SJ60-F1-model_v3	AF-Q5ZD06-F1-model_v3	7.0e-41	137.1	2.63e-06	358.57	4.410E-17	679	platinum
Q9SJ66	Q6YXW6	AF-Q9SJ66-F1-model_v3	AF-Q6YXW6-F1-model_v3	7.8e-198	553.5	0.00e+00	1192.72	5.920E-70	2885	platinum
Q9SJ74	Q8H7W3	AF-Q9SJ74-F1-model_v3	AF-Q8H7W3-F1-model_v3	1.2e-166	473.4	0.00e+00	1080.34	1.099E-51	2313	platinum
Q9SJ85	Q5ZAA9	AF-Q9SJ85-F1-model_v3	AF-Q5ZAA9-F1-model_v3	4.3e-256	714.1	0.00e+00	1427.50	4.304E-61	3214	platinum
Q9SJ89	Q6K471	AF-Q9SJ89-F1-model_v3	AF-Q6K471-F1-model_v3	7.4e-69	204.5	2.48e-13	370.70	4.727E-19	754	platinum
Q9SJA1	Q0DAG6	AF-Q9SJA1-F1-model_v3	AF-Q0DAG6-F1-model_v3	3.7e-170	511.1	1.52e-10	1281.05	8.570E-62	2538	platinum
Q9SJD4	Q5W6W7	AF-Q9SJD4-F1-model_v3	AF-Q5W6W7-F1-model_v3	0.0e+00	1009.2	0.00e+00	2054.81	0.000E+00	4997	platinum
Q9SJD5	Q651X4	AF-Q9SJD5-F1-model_v3	AF-Q651X4-F1-model_v3	3.6e-50	159.5	1.68e-08	393.51	8.665E-14	505	platinum
Q9SJE1	Q6ATS0	AF-Q9SJE1-F1-model_v3	AF-Q6ATS0-F1-model_v3	0.0e+00	1057.4	0.00e+00	1950.80	0.000E+00	4717	platinum
Q9SJE2	Q9SNP5	AF-Q9SJE2-F1-model_v3	AF-Q9SNP5-F1-model_v3	1.8e-180	509.2	2.09e-13	940.45	6.601E-54	2360	platinum
Q9SJF1	Q2QM41	AF-Q9SJF1-F1-model_v3	AF-Q2QM41-F1-model_v3	1.4e-231	652.9	1.11e-16	1324.69	3.121E-73	3047	platinum
Q9SJF3	Q2QXH6	AF-Q9SJF3-F1-model_v3	AF-Q2QXH6-F1-model_v3	1.8e-121	355.5	1.65e-07	758.73	5.653E-34	1401	platinum
Q9SJG6	Q10GC5	AF-Q9SJG6-F1-model_v3	AF-Q10GC5-F1-model_v3	1.5e-108	334.7	NA	NA	2.175E-33	2161	gold
Q9SJG7	Q6L5D8	AF-Q9SJG7-F1-model_v3	AF-Q6L5D8-F1-model_v3	9.4e-38	134.8	2.39e-12	552.14	8.514E-17	821	platinum
Q9SJG9	Q5ZCI1	AF-Q9SJG9-F1-model_v3	AF-Q5ZCI1-F1-model_v3	9.4e-293	809.3	4.82e-11	1413.47	1.134E-71	3311	platinum
Q9SJH8	Q0J7R4	AF-Q9SJH8-F1-model_v3	AF-Q0J7R4-F1-model_v3	1.8e-25	97.4	1.14e-11	270.55	NA	NA	gold
Q9SJH9	Q5JNF1	AF-Q9SJH9-F1-model_v3	AF-Q5JNF1-F1-model_v3	4.7e-82	245.0	1.02e-13	558.97	2.225E-19	1038	platinum
Q9SJI0	Q5Z943	AF-Q9SJI0-F1-model_v3	AF-Q5Z943-F1-model_v3	9.5e-22	91.7	4.54e-03	279.44	NA	NA	gold
Q9SJI1	Q5JNF3	AF-Q9SJI1-F1-model_v3	AF-Q5JNF3-F1-model_v3	1.6e-145	414.5	8.89e-14	874.84	1.589E-33	1730	platinum
Q9SJI7	Q5NAI4	AF-Q9SJI7-F1-model_v3	AF-Q5NAI4-F1-model_v3	3.7e-137	400.6	0.00e+00	1068.34	1.717E-53	2148	platinum
Q9SJK3	Q851R2	AF-Q9SJK3-F1-model_v3	AF-Q851R2-F1-model_v3	0.0e+00	1090.1	NA	NA	NA	NA	silver
Q9SJK4	Q7X7G3	AF-Q9SJK4-F1-model_v3	AF-Q7X7G3-F1-model_v3	6.4e-22	84.0	NA	NA	8.576E-09	351	gold
Q9SJK9	Q650U4	AF-Q9SJK9-F1-model_v3	AF-Q650U4-F1-model_v3	4.9e-111	348.2	NA	NA	1.232E-36	2529	gold
Q9SJL0	A0A0N7KRV1	AF-Q9SJL0-F1-model_v3	AF-A0A0N7KRV1-F1-model_v3	4.9e-186	529.3	0.00e+00	1244.84	2.325E-63	2677	platinum
Q9SJL4	A3BVU4	AF-Q9SJL4-F1-model_v3	AF-A3BVU4-F1-model_v3	5.9e-53	165.6	3.99e-09	270.00	1.632E-13	573	platinum
Q9SJL6	Q6AT61	AF-Q9SJL6-F1-model_v3	AF-Q6AT61-F1-model_v3	2.2e-84	250.8	0.00e+00	592.28	1.163E-16	750	platinum
Q9SJL9	Q8GVR3	AF-Q9SJL9-F1-model_v3	AF-Q8GVR3-F1-model_v3	5.6e-139	394.4	0.00e+00	825.13	6.009E-45	1959	platinum
Q9SJM7	Q6ZJ05	AF-Q9SJM7-F1-model_v3	AF-Q6ZJ05-F1-model_v3	1.7e-176	491.9	0.00e+00	939.85	1.006E-59	2353	platinum
Q9SJM8	Q10MY7	AF-Q9SJM8-F1-model_v3	AF-Q10MY7-F1-model_v3	8.7e-85	253.4	1.35e-11	584.11	7.330E-20	994	platinum
Q9SJM9	Q6ESF3	AF-Q9SJM9-F1-model_v3	AF-Q6ESF3-F1-model_v3	1.3e-152	434.5	NA	NA	NA	NA	silver
Q9SJN0	Q8RZ35	AF-Q9SJN0-F1-model_v3	AF-Q8RZ35-F1-model_v3	1.6e-57	194.1	NA	NA	NA	NA	silver
Q9SJQ1	A0A0P0Y746	AF-Q9SJQ1-F1-model_v3	AF-A0A0P0Y746-F1-model_v3	2.6e-142	434.5	1.27e-12	1498.88	1.842E-72	3195	platinum
Q9SJT1	Q0D529	AF-Q9SJT1-F1-model_v3	AF-Q0D529-F1-model_v3	2.5e-226	636.3	0.00e+00	1079.07	1.131E-61	2715	platinum
Q9SJT4	Q10BX7	AF-Q9SJT4-F1-model_v3	AF-Q10BX7-F1-model_v3	3.9e-188	569.7	8.00e-07	1993.92	3.225E-90	3689	platinum
Q9SJU8	P47909	AF-Q9SJU8-F1-model_v3	AF-P47909-F1-model_v3	4.11e-02	90.45	NA	NA	6.607E-07	269	gold
Q9SJU9	Q6EP22	AF-Q9SJU9-F1-model_v3	AF-Q6EP22-F1-model_v3	7.5e-168	471.9	0.00e+00	973.00	7.065E-60	2367	platinum
Q9SJV2	Q0E4D9	AF-Q9SJV2-F1-model_v3	AF-Q0E4D9-F1-model_v3	1.9e-192	533.1	0.00e+00	910.72	2.980E-56	2280	platinum
Q9SJV5	Q9AVE6	AF-Q9SJV5-F1-model_v3	AF-Q9AVE6-F1-model_v3	2.5e-150	427.2	0.00e+00	826.91	NA	NA	gold
Q9SJV6	Q9LGP3	AF-Q9SJV6-F1-model_v3	AF-Q9LGP3-F1-model_v3	8.1e-10	57.8	2.09e-03	394.65	NA	NA	gold
Q9SJV8	Q10NQ5	AF-Q9SJV8-F1-model_v3	AF-Q10NQ5-F1-model_v3	2.2e-67	207.6	3.33e-16	623.76	1.197E-28	1310	platinum
Q9SJW7	A0A0P0WV69	AF-Q9SJW7-F1-model_v3	AF-A0A0P0WV69-F1-model_v3	1.0e-126	372.9	0.00e+00	969.23	9.655E-43	1899	platinum
Q9SJW9	Q7X7L0	AF-Q9SJW9-F1-model_v3	AF-Q7X7L0-F1-model_v3	3.7e-72	241.9	3.74e-07	1024.44	2.837E-35	1534	platinum
Q9SJX7	Q0JBQ4	AF-Q9SJX7-F1-model_v3	AF-Q0JBQ4-F1-model_v3	2.1e-199	558.5	0.00e+00	1200.95	1.939E-48	2579	platinum
Q9SJY5	A0A0P0XP23	AF-Q9SJY5-F1-model_v3	AF-A0A0P0XP23-F1-model_v3	6.5e-126	365.5	0.00e+00	852.81	1.379E-27	1617	platinum
Q9SJZ2	Q6K4J4	AF-Q9SJZ2-F1-model_v3	AF-Q6K4J4-F1-model_v3	4.4e-153	433.7	0.00e+00	925.02	9.953E-45	2054	platinum
Q9SJZ6	Q7F8R5	AF-Q9SJZ6-F1-model_v3	AF-Q7F8R5-F1-model_v3	8.0e-104	298.9	0.00e+00	645.73	3.996E-35	1523	platinum
Q9SK02	Q60F40	AF-Q9SK02-F1-model_v3	AF-Q60F40-F1-model_v3	2.0e-136	393.3	0.00e+00	960.05	4.535E-51	2112	platinum
Q9SK08	Q10N09	AF-Q9SK08-F1-model_v3	AF-Q10N09-F1-model_v3	6.3e-54	173.3	1.33e-09	520.08	5.365E-18	704	platinum
Q9SK09	Q0DS36	AF-Q9SK09-F1-model_v3	AF-Q0DS36-F1-model_v3	3.3e-82	258.8	NA	NA	NA	NA	silver
Q9SK10	Q5JK63	AF-Q9SK10-F1-model_v3	AF-Q5JK63-F1-model_v3	7.9e-114	337.8	2.24e-09	837.74	8.869E-41	1578	platinum
Q9SK32	Q69S26	AF-Q9SK32-F1-model_v3	AF-Q69S26-F1-model_v3	2.6e-61	211.8	NA	NA	NA	NA	silver
Q9SK36	Q8LIY5	AF-Q9SK36-F1-model_v3	AF-Q8LIY5-F1-model_v3	8.9e-29	103.2	7.89e-10	368.68	3.475E-07	281	platinum
Q9SK39	Q6K680	AF-Q9SK39-F1-model_v3	AF-Q6K680-F1-model_v3	9.1e-42	132.5	NA	NA	1.442E-16	645	gold
Q9SK46	Q69QJ6	AF-Q9SK46-F1-model_v3	AF-Q69QJ6-F1-model_v3	3.4e-39	129.4	7.75e-09	315.83	9.990E-19	640	platinum
Q9SK49	Q6K687	AF-Q9SK49-F1-model_v3	AF-Q6K687-F1-model_v3	3.0e-163	471.9	3.54e-13	1050.43	1.147E-53	2218	platinum
Q9SK50	Q6K689	AF-Q9SK50-F1-model_v3	AF-Q6K689-F1-model_v3	1.9e-245	683.7	0.00e+00	1343.14	2.315E-74	3322	platinum
Q9SK52	Q7XUL1	AF-Q9SK52-F1-model_v3	AF-Q7XUL1-F1-model_v3	2.2e-112	335.5	0.00e+00	882.45	1.349E-38	1735	platinum
Q9SK55	Q8S7I7	AF-Q9SK55-F1-model_v3	AF-Q8S7I7-F1-model_v3	4.0e-82	251.1	NA	NA	NA	NA	silver
Q9SK61	C7J057	AF-Q9SK61-F1-model_v3	AF-C7J057-F1-model_v3	2.0e-72	220.7	9.99e-16	368.89	1.594E-20	845	platinum
Q9SK66	Q6K6A4	AF-Q9SK66-F1-model_v3	AF-Q6K6A4-F1-model_v3	9.1e-207	574.7	0.00e+00	1048.52	2.269E-59	2532	platinum
Q9SK69	Q8H919	AF-Q9SK69-F1-model_v3	AF-Q8H919-F1-model_v3	7.6e-278	774.6	7.77e-16	1531.73	1.509E-90	3857	platinum
Q9SK71	Q337M3	AF-Q9SK71-F1-model_v3	AF-Q337M3-F1-model_v3	1.2e-33	132.5	3.47e-03	658.29	5.396E-16	614	platinum
Q9SK74	Q0JHZ2	AF-Q9SK74-F1-model_v3	AF-Q0JHZ2-F1-model_v3	4.1e-161	456.1	5.60e-12	895.80	1.402E-45	1786	platinum
Q9SK84	Q75LR2	AF-Q9SK84-F1-model_v3	AF-Q75LR2-F1-model_v3	8.2e-297	813.9	0.00e+00	1487.60	1.545E-83	3706	platinum
Q9SK91	Q8H7N8	AF-Q9SK91-F1-model_v3	AF-Q8H7N8-F1-model_v3	1.4e-68	216.5	NA	NA	6.687E-25	1014	gold
Q9SKA3	Q7XKA3	AF-Q9SKA3-F1-model_v3	AF-Q7XKA3-F1-model_v3	0.0e+00	1127.1	NA	NA	0.000E+00	6206	gold
Q9SKA5	A0A0P0WH29	AF-Q9SKA5-F1-model_v3	AF-A0A0P0WH29-F1-model_v3	7.52e-01	37.21	NA	NA	NA	NA	silver
Q9SKA6	Q67U49	AF-Q9SKA6-F1-model_v3	AF-Q67U49-F1-model_v3	5.8e-34	114.8	9.73e-08	270.07	NA	NA	gold
Q9SKB2	Q5VMI1	AF-Q9SKB2-F1-model_v3	AF-Q5VMI1-F1-model_v3	5.4e-125	379.4	NA	NA	NA	NA	silver
Q9SKB3	Q75LD2	AF-Q9SKB3-F1-model_v3	AF-Q75LD2-F1-model_v3	3.0e-76	241.1	0.00e+00	663.45	9.101E-25	1127	platinum
Q9SKB6	Q0DI48	AF-Q9SKB6-F1-model_v3	AF-Q0DI48-F1-model_v3	9.2e-88	267.3	1.05e-09	737.05	NA	NA	gold
Q9SKC9	Q0DVH3	AF-Q9SKC9-F1-model_v3	AF-Q0DVH3-F1-model_v3	3.7e-39	127.5	3.40e-14	248.66	2.080E-10	409	platinum
Q9SKD9	Q6ERI5	AF-Q9SKD9-F1-model_v3	AF-Q6ERI5-F1-model_v3	4.9e-30	116.3	NA	NA	NA	NA	silver
Q9SKE2	Q6I581	AF-Q9SKE2-F1-model_v3	AF-Q6I581-F1-model_v3	1.1e-266	740.7	0.00e+00	1610.02	2.261E-85	3737	platinum
Q9SKF0	Q2QMA5	AF-Q9SKF0-F1-model_v3	AF-Q2QMA5-F1-model_v3	7.1e-159	449.9	0.00e+00	1026.09	6.145E-62	2355	platinum
Q9SKH2	Q7F233	AF-Q9SKH2-F1-model_v3	AF-Q7F233-F1-model_v3	2.8e-134	401.7	4.20e-12	1143.45	4.278E-39	2101	platinum
Q9SKI0	Q67WV0	AF-Q9SKI0-F1-model_v3	AF-Q67WV0-F1-model_v3	2.0e-45	154.1	NA	NA	1.124E-11	543	gold
Q9SKI3	Q8H452	AF-Q9SKI3-F1-model_v3	AF-Q8H452-F1-model_v3	4.4e-23	86.3	2.12e-06	231.08	3.384E-07	286	platinum
Q9SKI4	Q6YZ49	AF-Q9SKI4-F1-model_v3	AF-Q6YZ49-F1-model_v3	3.3e-277	773.1	NA	NA	9.615E-89	3941	gold
Q9SKJ6	Q10AH7	AF-Q9SKJ6-F1-model_v3	AF-Q10AH7-F1-model_v3	8.3e-249	699.9	0.00e+00	1378.60	2.264E-69	3085	platinum
Q9SKK8	A0A0P0VJT9	AF-Q9SKK8-F1-model_v3	AF-A0A0P0VJT9-F1-model_v3	9.0e-15	73.6	NA	NA	NA	NA	silver
Q9SKL4	Q6YWA7	AF-Q9SKL4-F1-model_v3	AF-Q6YWA7-F1-model_v3	3.3e-134	378.3	0.00e+00	711.23	1.166E-29	1494	platinum
Q9SKM7	B9G6A7	AF-Q9SKM7-F1-model_v3	AF-B9G6A7-F1-model_v3	8.1e-15	63.2	8.26e-09	175.36	NA	NA	gold
Q9SKM8	Q7EYX8	AF-Q9SKM8-F1-model_v3	AF-Q7EYX8-F1-model_v3	2.0e-71	214.9	2.22e-16	418.79	1.123E-24	972	platinum
Q9SKN1	Q5JL08	AF-Q9SKN1-F1-model_v3	AF-Q5JL08-F1-model_v3	2.7e-238	669.5	0.00e+00	1283.76	NA	NA	gold
Q9SKN2	Q9AV50	AF-Q9SKN2-F1-model_v3	AF-Q9AV50-F1-model_v3	1.5e-130	386.3	1.86e-09	926.32	1.010E-39	1637	platinum
Q9SKN3	Q10Q78	AF-Q9SKN3-F1-model_v3	AF-Q10Q78-F1-model_v3	4.4e-74	220.3	0.00e+00	478.77	5.953E-17	875	platinum
Q9SKP0	Q5NBN5	AF-Q9SKP0-F1-model_v3	AF-Q5NBN5-F1-model_v3	3.2e-07	51.2	4.85e-03	413.58	NA	NA	gold
Q9SKP6	Q69K00	AF-Q9SKP6-F1-model_v3	AF-Q69K00-F1-model_v3	1.8e-154	434.5	0.00e+00	825.33	2.542E-53	2068	platinum
Q9SKS7	Q651C7	AF-Q9SKS7-F1-model_v3	AF-Q651C7-F1-model_v3	4.4e-84	242.7	0.00e+00	406.82	2.702E-24	972	platinum
Q9SKS8	Q0DVC4	AF-Q9SKS8-F1-model_v3	AF-Q0DVC4-F1-model_v3	4.7e-86	256.1	NA	NA	9.961E-17	730	gold
Q9SKT0	Q84PB7	AF-Q9SKT0-F1-model_v3	AF-Q84PB7-F1-model_v3	4.6e-123	353.6	1.89e-15	709.75	3.361E-28	1406	platinum
Q9SKT1	Q6H5V2	AF-Q9SKT1-F1-model_v3	AF-Q6H5V2-F1-model_v3	4.1e-37	138.7	7.12e-02	467.77	NA	NA	gold
Q9SKT6	Q7XQR7	AF-Q9SKT6-F1-model_v3	AF-Q7XQR7-F1-model_v3	4.5e-252	701.0	0.00e+00	1452.93	1.577E-69	3131	platinum
Q9SKU6	Q8LNF7	AF-Q9SKU6-F1-model_v3	AF-Q8LNF7-F1-model_v3	6.3e-90	283.9	NA	NA	NA	NA	silver
Q9SKU8	B7FAH8	AF-Q9SKU8-F1-model_v3	AF-B7FAH8-F1-model_v3	1.4e-70	219.5	6.08e-12	667.42	2.120E-29	1277	platinum
Q9SKX4	A3A2Y2	AF-Q9SKX4-F1-model_v3	AF-A3A2Y2-F1-model_v3	1.2e-68	208.0	NA	NA	NA	NA	silver
Q9SKY2	Q6K8V9	AF-Q9SKY2-F1-model_v3	AF-Q6K8V9-F1-model_v3	5.1e-39	129.0	NA	NA	2.850E-14	665	gold
Q9SKY5	Q53RB5	AF-Q9SKY5-F1-model_v3	AF-Q53RB5-F1-model_v3	1.4e-85	256.5	0.00e+00	644.87	1.182E-31	1341	platinum
Q9SKY8	Q10PW8	AF-Q9SKY8-F1-model_v3	AF-Q10PW8-F1-model_v3	2.6e-273	756.9	0.00e+00	1509.40	9.101E-87	3930	platinum
Q9SKZ0	Q10FQ7	AF-Q9SKZ0-F1-model_v3	AF-Q10FQ7-F1-model_v3	6.0e-43	138.3	1.11e-16	326.14	1.296E-17	687	platinum
Q9SKZ1	A0A0P0V197	AF-Q9SKZ1-F1-model_v3	AF-A0A0P0V197-F1-model_v3	4.3e-144	407.5	2.53e-12	721.52	9.400E-39	1750	platinum
Q9SKZ5	Q6ZA55	AF-Q9SKZ5-F1-model_v3	AF-Q6ZA55-F1-model_v3	3.1e-242	674.5	0.00e+00	1270.27	8.013E-45	2672	platinum
Q9SL02	A0A0P0VJ93	AF-Q9SL02-F1-model_v3	AF-A0A0P0VJ93-F1-model_v3	9.1e-118	374.0	NA	NA	NA	NA	silver
Q9SL05	Q6Z1P2	AF-Q9SL05-F1-model_v3	AF-Q6Z1P2-F1-model_v3	2.4e-50	156.4	1.54e-08	301.79	7.065E-12	458	platinum
Q9SL13	A0A0P0VL62	AF-Q9SL13-F1-model_v3	AF-A0A0P0VL62-F1-model_v3	2.2e-04	37.4	6.74e-01	45.13	NA	NA	gold
Q9SL29	A0A0P0VM15	AF-Q9SL29-F1-model_v3	AF-A0A0P0VM15-F1-model_v3	3.4e-252	710.3	NA	NA	NA	NA	silver
Q9SL41	Q109C3	AF-Q9SL41-F1-model_v3	AF-Q109C3-F1-model_v3	3.4e-113	333.2	NA	NA	NA	NA	silver
Q9SL42	Q7XTK0	AF-Q9SL42-F1-model_v3	AF-Q7XTK0-F1-model_v3	2.9e-54	165.6	0.00e+00	335.48	1.149E-20	780	platinum
Q9SL43	Q5VPG8	AF-Q9SL43-F1-model_v3	AF-Q5VPG8-F1-model_v3	2.6e-105	305.4	0.00e+00	623.56	1.451E-33	1364	platinum
Q9SL48	Q851W1	AF-Q9SL48-F1-model_v3	AF-Q851W1-F1-model_v3	2.8e-264	738.4	0.00e+00	1626.40	2.680E-74	3427	platinum
Q9SL56	Q8H607	AF-Q9SL56-F1-model_v3	AF-Q8H607-F1-model_v3	1.2e-193	547.7	NA	NA	NA	NA	silver
Q9SL76	Q6K3D4	AF-Q9SL76-F1-model_v3	AF-Q6K3D4-F1-model_v3	0.0e+00	1326.6	0.00e+00	2571.65	0.000E+00	6097	platinum
Q9SL78	Q5TKE9	AF-Q9SL78-F1-model_v3	AF-Q5TKE9-F1-model_v3	3.2e-56	189.1	1.74e-06	623.73	5.354E-26	984	platinum
Q9SL79	Q5VMQ5	AF-Q9SL79-F1-model_v3	AF-Q5VMQ5-F1-model_v3	3.5e-171	506.9	5.57e-07	1122.67	5.555E-58	2213	platinum
Q9SL91	A0A0P0WDJ4	AF-Q9SL91-F1-model_v3	AF-A0A0P0WDJ4-F1-model_v3	4.1e-13	58.9	9.79e-02	71.84	NA	NA	gold
Q9SL92	A0A0P0VFA8	AF-Q9SL92-F1-model_v3	AF-A0A0P0VFA8-F1-model_v3	4.5e-129	374.8	0.00e+00	832.59	1.575E-49	2001	platinum
Q9SL95	Q6Z1Z0	AF-Q9SL95-F1-model_v3	AF-Q6Z1Z0-F1-model_v3	1.2e-172	492.3	0.00e+00	1202.82	8.411E-43	2326	platinum
Q9SLA1	Q69VD9	AF-Q9SLA1-F1-model_v3	AF-Q69VD9-F1-model_v3	1.7e-156	445.3	1.11e-16	927.86	1.366E-54	2238	platinum
Q9SLA2	Q9AX79	AF-Q9SLA2-F1-model_v3	AF-Q9AX79-F1-model_v3	4.9e-89	258.1	0.00e+00	503.87	1.259E-21	1112	platinum
Q9SLA6	Q6ZHU4	AF-Q9SLA6-F1-model_v3	AF-Q6ZHU4-F1-model_v3	1.4e-130	372.1	0.00e+00	764.64	1.293E-28	1502	platinum
Q9SLB7	Q6K713	AF-Q9SLB7-F1-model_v3	AF-Q6K713-F1-model_v3	1.1e-55	177.6	NA	NA	NA	NA	silver
Q9SLC3	C7J214	AF-Q9SLC3-F1-model_v3	AF-C7J214-F1-model_v3	4.7e-26	99.8	NA	NA	NA	NA	silver
Q9SLD9	Q8H658	AF-Q9SLD9-F1-model_v3	AF-Q8H658-F1-model_v3	1.5e-127	370.9	7.93e-11	781.46	4.308E-28	1506	platinum
Q9SLI4	Q6Z0E5	AF-Q9SLI4-F1-model_v3	AF-Q6Z0E5-F1-model_v3	2.0e-61	190.3	2.34e-08	423.87	5.598E-20	750	platinum
Q9SLK2	Q655Y4	AF-Q9SLK2-F1-model_v3	AF-Q655Y4-F1-model_v3	1.0e-170	479.2	NA	NA	NA	NA	silver
Q9SLL7	Q5Z9Z8	AF-Q9SLL7-F1-model_v3	AF-Q5Z9Z8-F1-model_v3	1.5e-61	184.1	0.00e+00	335.41	6.140E-21	823	platinum
Q9SLM4	Q6K6D3	AF-Q9SLM4-F1-model_v3	AF-Q6K6D3-F1-model_v3	5.9e-294	816.6	0.00e+00	1451.56	1.970E-70	3399	platinum
