Uniprot_arabadopsis	Uniprot_human	AlphaFold_arabadopsis	AlphaFold_human	diamond_value	diamond_score	fatcat_value	fatcat_score	foldseek_value	foldseek_score	platinum
Q8GWZ6	Q9UH36	AF-Q8GWZ6-F1-model_v3	AF-Q9UH36-F1-model_v3	NA	NA	4.93e-11	515.56	5.549E-18	770	gold
Q8GXP7	Q9BRJ2	AF-Q8GXP7-F1-model_v3	AF-Q9BRJ2-F1-model_v3	NA	NA	4.01e-06	449.12	1.565E-12	544	gold
Q8GXR9	Q9Y6N5	AF-Q8GXR9-F1-model_v3	AF-Q9Y6N5-F1-model_v3	NA	NA	1.46e-09	762.66	NA	NA	silver
Q8GY89	Q9BYN0	AF-Q8GY89-F1-model_v3	AF-Q9BYN0-F1-model_v3	NA	NA	7.44e-09	227.79	1.318E-08	355	gold
Q8GYH7	Q96MF7	AF-Q8GYH7-F1-model_v3	AF-Q96MF7-F1-model_v3	NA	NA	1.89e-10	428.97	5.659E-10	493	gold
Q8GYX3	Q96MT8	AF-Q8GYX3-F1-model_v3	AF-Q96MT8-F1-model_v3	NA	NA	3.67e-07	1093.04	4.519E-05	205	gold
Q8GZ22	O75832	AF-Q8GZ22-F1-model_v3	AF-O75832-F1-model_v3	NA	NA	0.00e+00	614.97	9.275E-16	894	gold
Q8H0S3	Q15437	AF-Q8H0S3-F1-model_v3	AF-Q15437-F1-model_v3	NA	NA	0.00e+00	2014.91	NA	NA	silver
Q8H106	P56180	AF-Q8H106-F1-model_v3	AF-P56180-F1-model_v3	NA	NA	2.49e-09	840.75	NA	NA	silver
Q8H116	P33908	AF-Q8H116-F1-model_v3	AF-P33908-F1-model_v3	NA	NA	0.00e+00	1354.07	NA	NA	silver
Q8H1F8	Q3B726	AF-Q8H1F8-F1-model_v3	AF-Q3B726-F1-model_v3	NA	NA	1.26e-07	380.13	4.978E-11	527	gold
Q8L4M1	Q86W42	AF-Q8L4M1-F1-model_v3	AF-Q86W42-F1-model_v3	NA	NA	0.00e+00	733.38	1.391E-26	1177	gold
Q8L4S3	O95400	AF-Q8L4S3-F1-model_v3	AF-O95400-F1-model_v3	NA	NA	1.42e-03	371.94	7.912E-10	436	gold
Q8L502	Q9H9A7	AF-Q8L502-F1-model_v3	AF-Q9H9A7-F1-model_v3	NA	NA	1.80e-04	607.75	4.087E-14	604	gold
Q8L539	P49914	AF-Q8L539-F1-model_v3	AF-P49914-F1-model_v3	NA	NA	0.00e+00	485.75	6.498E-17	704	gold
Q8L5Y0	Q96JC1	AF-Q8L5Y0-F1-model_v3	AF-Q96JC1-F1-model_v3	NA	NA	0.00e+00	1951.70	4.455E-54	2786	gold
Q8L5Z0	Q6NXE6	AF-Q8L5Z0-F1-model_v3	AF-Q6NXE6-F1-model_v3	NA	NA	0.00e+00	1119.78	3.470E-19	1169	gold
Q8L745	Q86XD8	AF-Q8L745-F1-model_v3	AF-Q86XD8-F1-model_v3	NA	NA	9.27e-02	599.28	3.133E-07	375	gold
Q8L751	P22059	AF-Q8L751-F1-model_v3	AF-P22059-F1-model_v3	NA	NA	7.43e-12	1475.58	NA	NA	silver
Q8L7G8	O60671	AF-Q8L7G8-F1-model_v3	AF-O60671-F1-model_v3	NA	NA	0.00e+00	566.56	6.292E-21	958	gold
Q8L7K4	Q8IWL3	AF-Q8L7K4-F1-model_v3	AF-Q8IWL3-F1-model_v3	NA	NA	1.89e-15	549.65	9.973E-15	751	gold
Q8L7M3	Q9NVM6	AF-Q8L7M3-F1-model_v3	AF-Q9NVM6-F1-model_v3	NA	NA	3.81e-10	587.61	9.927E-16	663	gold
Q8L7N4	Q969V5	AF-Q8L7N4-F1-model_v3	AF-Q969V5-F1-model_v3	NA	NA	3.01e-14	819.19	1.151E-29	1229	gold
Q8L7U3	Q9H2W6	AF-Q8L7U3-F1-model_v3	AF-Q9H2W6-F1-model_v3	NA	NA	4.64e-08	432.35	5.142E-18	703	gold
Q8L7W8	Q32M88	AF-Q8L7W8-F1-model_v3	AF-Q32M88-F1-model_v3	NA	NA	0.00e+00	977.69	5.261E-25	1231	gold
Q8L831	Q9NY33	AF-Q8L831-F1-model_v3	AF-Q9NY33-F1-model_v3	NA	NA	3.16e-09	979.67	6.924E-21	1099	gold
Q8L908	Q8TCC3	AF-Q8L908-F1-model_v3	AF-Q8TCC3-F1-model_v3	NA	NA	1.83e-05	170.55	8.673E-05	214	gold
Q8L9E3	Q9HD34	AF-Q8L9E3-F1-model_v3	AF-Q9HD34-F1-model_v3	NA	NA	0.00e+00	238.81	1.308E-05	279	gold
Q8L9R4	Q969E8	AF-Q8L9R4-F1-model_v3	AF-Q969E8-F1-model_v3	NA	NA	2.37e-07	354.02	9.470E-07	374	gold
Q8L9Y2	Q0PNE2	AF-Q8L9Y2-F1-model_v3	AF-Q0PNE2-F1-model_v3	NA	NA	0.00e+00	505.23	2.346E-18	751	gold
Q8LA13	O15523	AF-Q8LA13-F1-model_v3	AF-O15523-F1-model_v3	NA	NA	3.33e-15	1446.16	NA	NA	silver
Q8LB17	Q9Y3P4	AF-Q8LB17-F1-model_v3	AF-Q9Y3P4-F1-model_v3	NA	NA	4.56e-07	576.50	5.269E-13	681	gold
Q8LC79	P43694	AF-Q8LC79-F1-model_v3	AF-P43694-F1-model_v3	NA	NA	1.26e-01	266.06	NA	NA	silver
Q8LD39	Q9NRX2	AF-Q8LD39-F1-model_v3	AF-Q9NRX2-F1-model_v3	NA	NA	1.88e-11	336.09	1.944E-11	491	gold
Q8LD83	L0R819	AF-Q8LD83-F1-model_v3	AF-L0R819-F1-model_v3	NA	NA	5.15e-10	175.86	1.625E-04	220	gold
Q8LDU0	Q9NWU5	AF-Q8LDU0-F1-model_v3	AF-Q9NWU5-F1-model_v3	NA	NA	3.99e-07	373.35	1.075E-14	585	gold
Q8LEC2	Q9BTX3	AF-Q8LEC2-F1-model_v3	AF-Q9BTX3-F1-model_v3	NA	NA	0.00e+00	413.14	1.656E-09	450	gold
Q8LEM6	Q6NUK4	AF-Q8LEM6-F1-model_v3	AF-Q6NUK4-F1-model_v3	NA	NA	2.38e-06	540.37	NA	NA	silver
Q8LFN9	Q9NPF8	AF-Q8LFN9-F1-model_v3	AF-Q9NPF8-F1-model_v3	NA	NA	2.15e-04	404.45	5.926E-14	617	gold
Q8LG27	Q96I23	AF-Q8LG27-F1-model_v3	AF-Q96I23-F1-model_v3	NA	NA	3.57e-06	165.27	4.176E-07	292	gold
Q8LG77	P51553	AF-Q8LG77-F1-model_v3	AF-P51553-F1-model_v3	NA	NA	0.00e+00	983.31	NA	NA	silver
Q8LGI3	O15144	AF-Q8LGI3-F1-model_v3	AF-O15144-F1-model_v3	NA	NA	0.00e+00	627.23	5.467E-20	895	gold
Q8LK56	Q9UIF9	AF-Q8LK56-F1-model_v3	AF-Q9UIF9-F1-model_v3	NA	NA	1.53e-01	1130.83	NA	NA	silver
Q8LPK6	Q9BUI4	AF-Q8LPK6-F1-model_v3	AF-Q9BUI4-F1-model_v3	NA	NA	0.00e+00	1088.08	2.997E-27	1448	gold
Q8RU07	Q8IVS2	AF-Q8RU07-F1-model_v3	AF-Q8IVS2-F1-model_v3	NA	NA	0.00e+00	820.26	3.481E-33	1424	gold
Q8RWA7	Q9P0J0	AF-Q8RWA7-F1-model_v3	AF-Q9P0J0-F1-model_v3	NA	NA	0.00e+00	356.76	2.316E-08	326	gold
Q8RWC5	Q15582	AF-Q8RWC5-F1-model_v3	AF-Q15582-F1-model_v3	NA	NA	3.27e-05	589.23	NA	NA	silver
Q8RWE7	Q8IUR7	AF-Q8RWE7-F1-model_v3	AF-Q8IUR7-F1-model_v3	NA	NA	0.00e+00	1507.28	5.351E-25	1652	gold
Q8RWI2	Q8N9N7	AF-Q8RWI2-F1-model_v3	AF-Q8N9N7-F1-model_v3	NA	NA	0.00e+00	602.15	NA	NA	silver
Q8RWM3	Q6P2C8	AF-Q8RWM3-F1-model_v3	AF-Q6P2C8-F1-model_v3	NA	NA	2.09e-06	513.26	1.019E-13	606	gold
Q8RWQ1	Q96T58	AF-Q8RWQ1-F1-model_v3	AF-Q96T58-F2-model_v3	NA	NA	7.78e-02	923.10	NA	NA	silver
Q8RWS0	Q6PI98	AF-Q8RWS0-F1-model_v3	AF-Q6PI98-F1-model_v3	NA	NA	3.99e-08	244.68	9.177E-09	343	gold
Q8RWX6	Q9HCN3	AF-Q8RWX6-F1-model_v3	AF-Q9HCN3-F1-model_v3	NA	NA	7.22e-15	1080.16	1.342E-30	1453	gold
Q8RWY6	Q7Z460	AF-Q8RWY6-F1-model_v3	AF-Q7Z460-F1-model_v3	NA	NA	7.63e-07	2646.13	2.720E-46	2959	gold
Q8RWY7	P30414	AF-Q8RWY7-F1-model_v3	AF-P30414-F1-model_v3	NA	NA	8.79e-03	1219.04	NA	NA	silver
Q8RX86	P06280	AF-Q8RX86-F1-model_v3	AF-P06280-F1-model_v3	NA	NA	0.00e+00	961.75	NA	NA	silver
Q8RXC2	Q96JG6	AF-Q8RXC2-F1-model_v3	AF-Q96JG6-F1-model_v3	NA	NA	5.35e-12	1875.08	1.759E-34	2004	gold
Q8RXC4	Q9NNW5	AF-Q8RXC4-F1-model_v3	AF-Q9NNW5-F1-model_v3	NA	NA	0.00e+00	2082.05	4.424E-62	3166	gold
Q8RXE7	P52594	AF-Q8RXE7-F1-model_v3	AF-P52594-F1-model_v3	NA	NA	2.34e-03	798.49	2.835E-14	579	gold
Q8RXH2	Q9BW27	AF-Q8RXH2-F1-model_v3	AF-Q9BW27-F1-model_v3	NA	NA	8.91e-12	1221.59	1.066E-21	1311	gold
Q8RXJ0	Q9BZD4	AF-Q8RXJ0-F1-model_v3	AF-Q9BZD4-F1-model_v3	NA	NA	3.77e-13	1149.68	1.804E-08	414	gold
Q8RXK3	Q16533	AF-Q8RXK3-F1-model_v3	AF-Q16533-F1-model_v3	NA	NA	7.94e-09	527.27	6.816E-08	408	gold
Q8RXN0	Q9H222	AF-Q8RXN0-F1-model_v3	AF-Q9H222-F1-model_v3	NA	NA	0.00e+00	1534.59	NA	NA	silver
Q8RXP6	Q7L211	AF-Q8RXP6-F1-model_v3	AF-Q7L211-F1-model_v3	NA	NA	0.00e+00	721.17	4.177E-32	1265	gold
Q8RY09	Q6UWZ7	AF-Q8RY09-F1-model_v3	AF-Q6UWZ7-F1-model_v3	NA	NA	2.77e-10	559.91	1.674E-15	645	gold
Q8S528	O94788	AF-Q8S528-F1-model_v3	AF-O94788-F1-model_v3	NA	NA	0.00e+00	1467.26	NA	NA	silver
Q8S8D2	O76021	AF-Q8S8D2-F1-model_v3	AF-O76021-F1-model_v3	NA	NA	1.02e-08	779.81	3.479E-27	1094	gold
Q8S8Q6	P27701	AF-Q8S8Q6-F1-model_v3	AF-P27701-F1-model_v3	NA	NA	1.72e-06	420.23	2.503E-05	299	gold
Q8S8S8	Q9NX58	AF-Q8S8S8-F1-model_v3	AF-Q9NX58-F1-model_v3	NA	NA	3.44e-04	443.50	1.764E-11	499	gold
Q8VY53	Q14442	AF-Q8VY53-F1-model_v3	AF-Q14442-F1-model_v3	NA	NA	3.28e-11	405.88	8.402E-09	434	gold
Q8VY84	P00568	AF-Q8VY84-F1-model_v3	AF-P00568-F1-model_v3	NA	NA	0.00e+00	511.39	NA	NA	silver
Q8VY89	Q9UJX3	AF-Q8VY89-F1-model_v3	AF-Q9UJX3-F1-model_v3	NA	NA	0.00e+00	1369.27	1.159E-26	1704	gold
Q8VYC6	P08887	AF-Q8VYC6-F1-model_v3	AF-P08887-F1-model_v3	NA	NA	2.23e-02	347.36	NA	NA	silver
Q8VYC8	Q9UKV5	AF-Q8VYC8-F1-model_v3	AF-Q9UKV5-F1-model_v3	NA	NA	1.00e-09	1033.62	NA	NA	silver
Q8VYE2	Q3ZCQ8	AF-Q8VYE2-F1-model_v3	AF-Q3ZCQ8-F1-model_v3	NA	NA	8.48e-10	689.81	2.326E-22	931	gold
Q8VYG2	P51570	AF-Q8VYG2-F1-model_v3	AF-P51570-F1-model_v3	NA	NA	0.00e+00	862.42	3.346E-28	1314	gold
Q8VYJ6	Q9H4E7	AF-Q8VYJ6-F1-model_v3	AF-Q9H4E7-F1-model_v3	NA	NA	9.51e-07	958.96	3.986E-09	425	gold
Q8VYK1	Q9NRN7	AF-Q8VYK1-F1-model_v3	AF-Q9NRN7-F1-model_v3	NA	NA	6.74e-10	491.80	9.723E-16	665	gold
Q8VYL3	O96009	AF-Q8VYL3-F1-model_v3	AF-O96009-F1-model_v3	NA	NA	9.89e-14	867.51	NA	NA	silver
Q8VYQ0	Q5JS54	AF-Q8VYQ0-F1-model_v3	AF-Q5JS54-F1-model_v3	NA	NA	4.07e-12	282.98	1.702E-09	407	gold
Q8VZ50	Q96GE6	AF-Q8VZ50-F1-model_v3	AF-Q96GE6-F1-model_v3	NA	NA	3.95e-12	341.96	NA	NA	silver
Q8VZ55	Q9NZE8	AF-Q8VZ55-F1-model_v3	AF-Q9NZE8-F1-model_v3	NA	NA	1.06e-05	286.10	8.625E-04	185	gold
Q8VZ56	P0DUB6	AF-Q8VZ56-F1-model_v3	AF-P0DUB6-F1-model_v3	NA	NA	2.08e-10	577.46	NA	NA	silver
Q8VZ67	Q86X95	AF-Q8VZ67-F1-model_v3	AF-Q86X95-F1-model_v3	NA	NA	7.18e-03	565.97	1.236E-08	354	gold
Q8VZD4	Q2T9J0	AF-Q8VZD4-F1-model_v3	AF-Q2T9J0-F1-model_v3	NA	NA	1.45e-11	876.08	7.046E-33	1510	gold
Q8VZI8	Q9UQ90	AF-Q8VZI8-F1-model_v3	AF-Q9UQ90-F1-model_v3	NA	NA	2.44e-15	1771.92	NA	NA	silver
Q8VZU9	Q9BUN8	AF-Q8VZU9-F1-model_v3	AF-Q9BUN8-F1-model_v3	NA	NA	0.00e+00	589.78	NA	NA	silver
Q8VZW1	A0A075B734	AF-Q8VZW1-F1-model_v3	AF-A0A075B734-F1-model_v3	NA	NA	1.32e-09	589.12	NA	NA	silver
Q8W036	Q96PS8	AF-Q8W036-F1-model_v3	AF-Q96PS8-F1-model_v3	NA	NA	1.33e-13	598.62	NA	NA	silver
Q8W0Z6	Q9H0R1	AF-Q8W0Z6-F1-model_v3	AF-Q9H0R1-F1-model_v3	NA	NA	0.00e+00	799.33	1.978E-33	1462	gold
Q8W1E4	Q96EU6	AF-Q8W1E4-F1-model_v3	AF-Q96EU6-F1-model_v3	NA	NA	9.58e-07	507.87	5.801E-13	514	gold
Q8W471	Q96GR2	AF-Q8W471-F1-model_v3	AF-Q96GR2-F1-model_v3	NA	NA	0.00e+00	1427.13	NA	NA	silver
Q8W498	Q8TEX9	AF-Q8W498-F1-model_v3	AF-Q8TEX9-F1-model_v3	NA	NA	0.00e+00	2662.24	6.018E-46	3158	gold
Q8W4B2	Q7Z412	AF-Q8W4B2-F1-model_v3	AF-Q7Z412-F1-model_v3	NA	NA	4.43e-08	600.39	3.108E-06	351	gold
Q8W4D7	Q96S52	AF-Q8W4D7-F1-model_v3	AF-Q96S52-F1-model_v3	NA	NA	1.03e-14	1021.12	2.391E-34	1480	gold
Q93VB0	Q12904	AF-Q93VB0-F1-model_v3	AF-Q12904-F1-model_v3	NA	NA	1.69e-06	652.09	NA	NA	silver
Q93VF4	Q9HAF1	AF-Q93VF4-F1-model_v3	AF-Q9HAF1-F1-model_v3	NA	NA	3.08e-06	309.93	1.089E-05	267	gold
Q93VK9	Q9HBM1	AF-Q93VK9-F1-model_v3	AF-Q9HBM1-F1-model_v3	NA	NA	7.98e-12	580.37	4.087E-09	398	gold
Q93WB8	Q15904	AF-Q93WB8-F1-model_v3	AF-Q15904-F1-model_v3	NA	NA	7.12e-03	294.81	1.219E-07	338	gold
Q93WE4	Q8IW03	AF-Q93WE4-F1-model_v3	AF-Q8IW03-F1-model_v3	NA	NA	6.07e-10	452.65	NA	NA	silver
Q93XX1	Q9H330	AF-Q93XX1-F1-model_v3	AF-Q9H330-F1-model_v3	NA	NA	6.51e-06	1152.77	6.635E-14	795	gold
Q93YU5	Q96A65	AF-Q93YU5-F1-model_v3	AF-Q96A65-F1-model_v3	NA	NA	4.25e-10	1650.92	8.660E-27	1693	gold
Q93YW7	Q9UJA2	AF-Q93YW7-F1-model_v3	AF-Q9UJA2-F1-model_v3	NA	NA	2.57e-08	565.05	5.071E-13	633	gold
Q93Z16	P04844	AF-Q93Z16-F1-model_v3	AF-P04844-F1-model_v3	NA	NA	0.00e+00	1311.90	1.137E-37	1830	gold
Q93ZA9	Q96MV1	AF-Q93ZA9-F1-model_v3	AF-Q96MV1-F1-model_v3	NA	NA	0.00e+00	665.60	2.314E-11	671	gold
Q93ZB9	Q8WVX9	AF-Q93ZB9-F1-model_v3	AF-Q8WVX9-F1-model_v3	NA	NA	0.00e+00	1075.05	NA	NA	silver
Q93ZI7	Q9H9A5	AF-Q93ZI7-F1-model_v3	AF-Q9H9A5-F1-model_v3	NA	NA	1.20e-10	1323.25	6.491E-27	1632	gold
Q93ZJ9	O15234	AF-Q93ZJ9-F1-model_v3	AF-O15234-F1-model_v3	NA	NA	7.16e-02	524.15	5.606E-04	174	gold
Q93ZV8	Q7RTR2	AF-Q93ZV8-F1-model_v3	AF-Q7RTR2-F1-model_v3	NA	NA	0.00e+00	1196.84	9.059E-34	1492	gold
Q940G3	Q96EL3	AF-Q940G3-F1-model_v3	AF-Q96EL3-F1-model_v3	NA	NA	8.88e-16	276.90	2.317E-08	341	gold
Q940J1	O60663	AF-Q940J1-F1-model_v3	AF-O60663-F1-model_v3	NA	NA	5.51e-04	388.77	NA	NA	silver
Q940N4	P58340	AF-Q940N4-F1-model_v3	AF-P58340-F1-model_v3	NA	NA	3.84e-03	387.25	1.015E-08	388	gold
Q941B2	Q9UNW1	AF-Q941B2-F1-model_v3	AF-Q9UNW1-F1-model_v3	NA	NA	4.44e-16	852.18	1.804E-26	1216	gold
Q944A6	Q9UGI9	AF-Q944A6-F1-model_v3	AF-Q9UGI9-F1-model_v3	NA	NA	3.04e-09	773.66	NA	NA	silver
Q944B6	Q8NFT2	AF-Q944B6-F1-model_v3	AF-Q8NFT2-F1-model_v3	NA	NA	3.58e-03	540.76	NA	NA	silver
Q944S2	Q96FK6	AF-Q944S2-F1-model_v3	AF-Q96FK6-F1-model_v3	NA	NA	3.33e-16	717.16	6.018E-25	1165	gold
Q945M1	Q9Y6M9	AF-Q945M1-F1-model_v3	AF-Q9Y6M9-F1-model_v3	NA	NA	1.87e-09	250.77	3.365E-05	257	gold
Q948K8	P51151	AF-Q948K8-F1-model_v3	AF-P51151-F1-model_v3	NA	NA	0.00e+00	563.62	NA	NA	silver
Q949S9	O75934	AF-Q949S9-F1-model_v3	AF-O75934-F1-model_v3	NA	NA	1.88e-10	553.21	3.697E-11	462	gold
Q94A94	P11926	AF-Q94A94-F1-model_v3	AF-P11926-F1-model_v3	NA	NA	0.00e+00	847.10	8.564E-25	1036	gold
Q94AA1	Q86WB7	AF-Q94AA1-F1-model_v3	AF-Q86WB7-F1-model_v3	NA	NA	0.00e+00	1046.27	2.719E-19	1216	gold
Q94AH1	Q86W33	AF-Q94AH1-F1-model_v3	AF-Q86W33-F1-model_v3	NA	NA	1.65e-09	577.74	3.859E-09	562	gold
Q94AH7	Q6ZP29	AF-Q94AH7-F1-model_v3	AF-Q6ZP29-F1-model_v3	NA	NA	1.17e-09	584.66	3.451E-11	622	gold
Q94AH9	A6NHQ2	AF-Q94AH9-F1-model_v3	AF-A6NHQ2-F1-model_v3	NA	NA	1.57e-14	861.66	NA	NA	silver
Q94AT1	Q8WY54	AF-Q94AT1-F1-model_v3	AF-Q8WY54-F1-model_v3	NA	NA	3.16e-04	822.67	NA	NA	silver
Q94AU5	Q8WY98	AF-Q94AU5-F1-model_v3	AF-Q8WY98-F1-model_v3	NA	NA	3.90e-11	318.01	1.430E-05	310	gold
Q94AW9	Q9NQT5	AF-Q94AW9-F1-model_v3	AF-Q9NQT5-F1-model_v3	NA	NA	0.00e+00	611.38	2.694E-27	1111	gold
Q94BQ3	Q8N5D0	AF-Q94BQ3-F1-model_v3	AF-Q8N5D0-F1-model_v3	NA	NA	1.11e-16	1262.58	1.055E-45	2163	gold
Q94BV2	Q14CW9	AF-Q94BV2-F1-model_v3	AF-Q14CW9-F1-model_v3	NA	NA	4.75e-03	242.72	4.054E-05	220	gold
Q94BY3	P43308	AF-Q94BY3-F1-model_v3	AF-P43308-F1-model_v3	NA	NA	7.17e-12	400.56	1.157E-11	575	gold
Q94BY8	Q8N5M1	AF-Q94BY8-F1-model_v3	AF-Q8N5M1-F1-model_v3	NA	NA	2.22e-16	677.25	1.795E-18	918	gold
Q94BZ5	Q9ULV5	AF-Q94BZ5-F1-model_v3	AF-Q9ULV5-F1-model_v3	NA	NA	2.63e-05	696.07	NA	NA	silver
Q94C49	Q96MV8	AF-Q94C49-F1-model_v3	AF-Q96MV8-F1-model_v3	NA	NA	0.00e+00	618.00	NA	NA	silver
Q94F08	Q6UWX4	AF-Q94F08-F1-model_v3	AF-Q6UWX4-F1-model_v3	NA	NA	2.24e-11	1064.24	NA	NA	silver
Q94F16	Q16635	AF-Q94F16-F1-model_v3	AF-Q16635-F1-model_v3	NA	NA	0.00e+00	678.91	7.224E-23	973	gold
Q94K59	Q16831	AF-Q94K59-F1-model_v3	AF-Q16831-F1-model_v3	NA	NA	3.73e-06	386.15	NA	NA	silver
Q96251	P48047	AF-Q96251-F1-model_v3	AF-P48047-F1-model_v3	NA	NA	0.00e+00	560.72	1.460E-17	814	gold
Q96252	P30049	AF-Q96252-F1-model_v3	AF-P30049-F1-model_v3	NA	NA	4.44e-16	384.79	1.155E-17	728	gold
Q96292	Q6S8J3	AF-Q96292-F1-model_v3	AF-Q6S8J3-F1-model_v3	NA	NA	0.00e+00	1111.56	NA	NA	silver
Q96299	P31947	AF-Q96299-F1-model_v3	AF-P31947-F1-model_v3	NA	NA	0.00e+00	712.06	NA	NA	silver
Q96329	Q92947	AF-Q96329-F1-model_v3	AF-Q92947-F1-model_v3	NA	NA	0.00e+00	1135.34	2.524E-34	1785	gold
Q9AST6	O95214	AF-Q9AST6-F1-model_v3	AF-O95214-F1-model_v3	NA	NA	3.13e-13	324.46	2.705E-05	281	gold
Q9ASW1	Q9Y2C3	AF-Q9ASW1-F1-model_v3	AF-Q9Y2C3-F1-model_v3	NA	NA	1.97e-12	596.40	1.188E-20	928	gold
Q9C546	A0A7I2V3R4	AF-Q9C546-F1-model_v3	AF-A0A7I2V3R4-F1-model_v3	NA	NA	1.56e-03	383.39	2.600E-06	285	gold
Q9C552	Q86U38	AF-Q9C552-F1-model_v3	AF-Q86U38-F1-model_v3	NA	NA	6.28e-13	1318.35	1.558E-18	1261	gold
Q9C5H6	Q9BS91	AF-Q9C5H6-F1-model_v3	AF-Q9BS91-F1-model_v3	NA	NA	2.55e-15	832.78	NA	NA	silver
Q9C5P6	Q9NZI2	AF-Q9C5P6-F1-model_v3	AF-Q9NZI2-F1-model_v3	NA	NA	3.40e-11	440.69	NA	NA	silver
Q9C778	Q96EB1	AF-Q9C778-F1-model_v3	AF-Q96EB1-F1-model_v3	NA	NA	1.09e-08	634.49	9.412E-25	996	gold
Q9C7N2	P14222	AF-Q9C7N2-F1-model_v3	AF-P14222-F1-model_v3	NA	NA	2.56e-02	403.57	5.549E-14	635	gold
Q9C811	Q12769	AF-Q9C811-F1-model_v3	AF-Q12769-F1-model_v3	NA	NA	1.55e-15	2253.24	2.904E-42	2509	gold
Q9C875	Q9H3J6	AF-Q9C875-F1-model_v3	AF-Q9H3J6-F1-model_v3	NA	NA	5.92e-05	298.73	NA	NA	silver
Q9C895	Q5VTR2	AF-Q9C895-F1-model_v3	AF-Q5VTR2-F1-model_v3	NA	NA	2.26e-10	2157.84	6.984E-21	886	gold
Q9C8D7	Q53FT3	AF-Q9C8D7-F1-model_v3	AF-Q53FT3-F1-model_v3	NA	NA	1.07e-06	276.27	2.201E-12	519	gold
Q9C8V0	Q96F15	AF-Q9C8V0-F1-model_v3	AF-Q96F15-F1-model_v3	NA	NA	0.00e+00	763.87	NA	NA	silver
Q9C920	Q8NFW8	AF-Q9C920-F1-model_v3	AF-Q8NFW8-F1-model_v3	NA	NA	2.14e-05	420.94	1.817E-11	478	gold
Q9C9Z6	Q8IV45	AF-Q9C9Z6-F1-model_v3	AF-Q8IV45-F1-model_v3	NA	NA	6.00e-02	233.91	4.066E-04	230	gold
Q9CA42	Q7Z7B0	AF-Q9CA42-F1-model_v3	AF-Q7Z7B0-F1-model_v3	NA	NA	3.34e-06	2250.35	NA	NA	silver
Q9CA76	Q8N6D2	AF-Q9CA76-F1-model_v3	AF-Q8N6D2-F1-model_v3	NA	NA	2.14e-05	374.52	1.274E-07	323	gold
Q9CA86	P28328	AF-Q9CA86-F1-model_v3	AF-P28328-F1-model_v3	NA	NA	3.32e-14	664.80	1.377E-19	832	gold
Q9CAF9	Q96EH3	AF-Q9CAF9-F1-model_v3	AF-Q96EH3-F1-model_v3	NA	NA	1.70e-06	331.77	5.962E-10	419	gold
Q9CAQ2	Q8N6N6	AF-Q9CAQ2-F1-model_v3	AF-Q8N6N6-F1-model_v3	NA	NA	1.62e-11	242.89	2.691E-07	312	gold
Q9CAX3	Q9GZW8	AF-Q9CAX3-F1-model_v3	AF-Q9GZW8-F1-model_v3	NA	NA	5.95e-09	387.71	3.465E-04	261	gold
Q9FE18	Q9Y237	AF-Q9FE18-F1-model_v3	AF-Q9Y237-F1-model_v3	NA	NA	8.68e-11	282.47	6.656E-11	452	gold
Q9FF10	Q9Y251	AF-Q9FF10-F1-model_v3	AF-Q9Y251-F1-model_v3	NA	NA	0.00e+00	1014.88	5.755E-42	1709	gold
Q9FF18	Q02928	AF-Q9FF18-F1-model_v3	AF-Q02928-F1-model_v3	NA	NA	0.00e+00	1140.53	NA	NA	silver
Q9FFB3	Q9Y3E7	AF-Q9FFB3-F1-model_v3	AF-Q9Y3E7-F1-model_v3	NA	NA	4.60e-12	485.96	1.851E-14	668	gold
Q9FFD9	Q96G97	AF-Q9FFD9-F1-model_v3	AF-Q96G97-F1-model_v3	NA	NA	7.40e-11	640.83	2.587E-19	799	gold
Q9FFI2	Q9H1Y0	AF-Q9FFI2-F1-model_v3	AF-Q9H1Y0-F1-model_v3	NA	NA	0.00e+00	570.40	7.256E-23	926	gold
Q9FFK6	Q99567	AF-Q9FFK6-F1-model_v3	AF-Q99567-F1-model_v3	NA	NA	1.42e-08	1069.97	2.056E-27	1229	gold
Q9FFU6	Q6ZNA5	AF-Q9FFU6-F1-model_v3	AF-Q6ZNA5-F1-model_v3	NA	NA	5.50e-05	750.42	9.444E-18	887	gold
Q9FFV1	O60739	AF-Q9FFV1-F1-model_v3	AF-O60739-F1-model_v3	NA	NA	4.73e-12	277.59	NA	NA	silver
Q9FG71	Q9Y3B6	AF-Q9FG71-F1-model_v3	AF-Q9Y3B6-F1-model_v3	NA	NA	0.00e+00	482.44	8.101E-21	823	gold
Q9FGK9	O15027	AF-Q9FGK9-F1-model_v3	AF-O15027-F1-model_v3	NA	NA	1.61e-02	1430.21	1.046E-20	1190	gold
Q9FGN7	Q9Y6X3	AF-Q9FGN7-F1-model_v3	AF-Q9Y6X3-F1-model_v3	NA	NA	0.00e+00	1447.15	9.593E-20	1304	gold
Q9FGT9	Q6W3E5	AF-Q9FGT9-F1-model_v3	AF-Q6W3E5-F1-model_v3	NA	NA	3.29e-03	550.60	NA	NA	silver
Q9FGZ0	A6NDL7	AF-Q9FGZ0-F1-model_v3	AF-A6NDL7-F1-model_v3	NA	NA	1.44e-14	456.56	NA	NA	silver
